objectid,apn,locapn,genplan,zoning,gacres,locacres,allowden,allowhigh,relcapcty,sitetype,pdaparcel,existuse,Shape__Are,Shape__Len,geometry
70424,3780/085,3780/085,Showpl/Potrero,UMU,0.063,0.06300044431,,0,5.0,Vacant,Y,Vacant,2.6075668e-08,0.000910979447045,"POLYGON ((-122.404385077 37.7732057470001, -122.404201185 37.773060421, -122.404255402 37.773017193, -122.404536489 37.773239328, -122.404558424 37.7732566620001, -122.404504055 37.773299772, -122.404385077 37.7732057470001))"
70425,3781/008,3781/008,Showpl/Potrero,UMU,0.606,0.60621822209,,0,23.0,Underutilized,Y,Industrial,2.50910489e-07,0.002265337227487,"POLYGON ((-122.406555039 37.771487323, -122.406220189 37.7708430810001, -122.406319857 37.770764242, -122.406989959 37.7712989240001, -122.406652942 37.7715654420001, -122.406555039 37.771487323))"
70426,3782/009,3782/009,Showpl/Potrero,PDR-1-G,0.198,0.19781903589,0.0,0,0.0,Underutilized,Y,Industrial,8.1874077e-08,0.001212366204062,"POLYGON ((-122.405152469 37.770906354, -122.405235523 37.770842923, -122.405244369 37.770803706, -122.405362854 37.7707052480001, -122.405396483 37.770769855, -122.405415447 37.770803841, -122.405435154 37.770837558, -122.405455601 37.770870997, -122.405476779 37.770904149, -122.405560731 37.7710448560001, -122.405444282 37.7711369680001, -122.405152469 37.770906354))"
70427,3786/035,3786/035,East SoMa,MUO,0.407,0.40685529397,,0,32.0,Underutilized,Y,Commercial,1.68409315e-07,0.001711739984265,"POLYGON ((-122.396244991 37.777454903, -122.39647332 37.777636704, -122.396402176 37.7780663070001, -122.395937818 37.7776965790001, -122.396244991 37.777454903))"
70428,3786/038,3786/038,East SoMa,MUO,0.908,0.9087459888,,0,70.0,Underutilized,Y,Bank,3.76157004e-07,0.002827416397853,"POLYGON ((-122.396402176 37.7780663070001, -122.39647332 37.777636704, -122.396244991 37.777454903, -122.396478441 37.7772712300001, -122.396771579 37.7775046290001, -122.3968453 37.777446626, -122.397146671 37.7776865810001, -122.396533592 37.7781709430001, -122.396402176 37.7780663070001))"
70429,3787/003,3787/003,East SoMa,SLI,0.09,0.08994020231,22.236996901,22,2.0,Vacant,Y,Vacant,3.7231075e-08,0.001135060954073,"POLYGON ((-122.394060967 37.7797307800001, -122.394256816 37.779575273, -122.394444362 37.7794263580001, -122.39450527 37.779475114, -122.394380102 37.7795745010001, -122.394306713 37.779632771, -122.394121962 37.779779466, -122.394060967 37.7797307800001))"
70430,3787/004,3787/004,East SoMa,SLI,0.046,0.04595928015,21.75839127,22,1.0,Vacant,Y,Vacant,1.902481e-08,0.000656328627096,"POLYGON ((-122.393999974 37.7796820930001, -122.394195909 37.779526516, -122.394256816 37.779575273, -122.394060967 37.7797307800001, -122.393999974 37.7796820930001))"
70431,3787/007,3787/007,East SoMa,SLI,0.09,0.0900830735,22.201729164,22,2.0,Vacant,Y,Vacant,3.7289283e-08,0.001136609586299,"POLYGON ((-122.393634013 37.7793899700001, -122.394018016 37.779085068, -122.394078922 37.7791338230001, -122.393695007 37.7794386580001, -122.393634013 37.7793899700001))"
70432,3787/016,3787/016,East SoMa,SLI,0.051,0.05073517087,19.710192808,20,1.0,Vacant,Y,Vacant,2.1000687e-08,0.000594809145973,"POLYGON ((-122.394093118 37.778643962, -122.394228272 37.7785366480001, -122.394325721 37.778614657, -122.394190568 37.778721972, -122.394093118 37.778643962))"
70433,3787/037,3787/037,East SoMa,SLI,0.086,0.08632484474,11.584150577,12,1.0,Vacant,Y,Vacant,3.5733137e-08,0.000782253640561,"POLYGON ((-122.394245527 37.7791111670001, -122.394429799 37.7789655920001, -122.394551939 37.7790628440001, -122.394367337 37.779208678, -122.394245527 37.7791111670001))"
70434,3787/050,3787/050,East SoMa,SLI,0.128,0.12822378297,15.597730418,16,2.0,Vacant,Y,Vacant,5.3074473e-08,0.001802080612194,"POLYGON ((-122.394309272 37.777790569, -122.394431579 37.777693453, -122.394627001 37.777849057, -122.394529155 37.7779267490001, -122.394916459 37.778235137, -122.394891953 37.7782545250001, -122.394309272 37.777790569))"
70435,3787/161,3787/161,East SoMa,SLI,0.12,0.12018880518,16.640484918,17,2.0,Vacant,Y,Vacant,4.9752998e-08,0.001692256894747,"POLYGON ((-122.395029912 37.7780542470001, -122.395032531 37.7780448730001, -122.39503443 37.7780373780001, -122.395037709 37.778022439, -122.395039113 37.778014877, -122.395040351 37.7780072960001, -122.395041423 37.7779997000001, -122.395046515 37.777972715, -122.395049832 37.777952316, -122.395052701 37.777931876, -122.395055119 37.7779113990001, -122.395057086 37.777890891, -122.395058604 37.777870358, -122.395059667 37.777849809, -122.395060281 37.777829248, -122.39506044 37.7778086800001, -122.395060148 37.777788113, -122.395059405 37.777767555, -122.395058208 37.77774701, -122.395056562 37.777726484, -122.395054462 37.7777059850001, -122.395051915 37.7776855170001, -122.395048914 37.777665088, -122.395045467 37.777644702, -122.395041573 37.7776243690001, -122.395037231 37.777604092, -122.395030179 37.7775671220001, -122.395025431 37.7775383590001, -122.395021314 37.777509535, -122.395017833 37.7774806580001, -122.395014989 37.777451737, -122.39501278 37.7774227830001, -122.395011208 37.777393799, -122.394999041 37.777270023, -122.395069679 37.777326268, -122.395075924 37.7773897930001, -122.395077446 37.777418185, -122.395079595 37.777446551, -122.395082366 37.7774748840001, -122.395085759 37.7775031740001, -122.395089774 37.777531412, -122.395094411 37.7775595910001, -122.39510122 37.7775954190001, -122.395105742 37.7776165830001, -122.395109799 37.7776378070001, -122.395113387 37.777659085, -122.395116508 37.777680408, -122.39511916 37.7777017700001, -122.395121341 37.777723167, -122.395123051 37.777744592, -122.39512429 37.7777660350001, -122.395125058 37.7777874930001, -122.395125354 37.777808959, -122.395125177 37.777830425, -122.395124529 37.777851884, -122.395123409 37.777873334, -122.395121817 37.7778947630001, -122.395119754 37.7779161670001, -122.395117222 37.7779375390001, -122.39511422 37.777958873, -122.395110748 37.7779801630001, -122.395105795 37.7780064830001, -122.395104566 37.7780149710001, -122.395103148 37.77802344, -122.395101546 37.7780318870001, -122.395099758 37.778040312, -122.395097784 37.7780487110001, -122.395095626 37.7780570800001, -122.395092958 37.778066532, -122.395029912 37.7780542470001))"
70436,3788/042,3788/042,East SoMa,MUO,0.839,0.83978181224,,0,65.0,Underutilized,Y,Office Bld,3.47626155e-07,0.002489872056391,"POLYGON ((-122.391943519 37.7808126140001, -122.392292321 37.7805356060001, -122.392917884 37.7810318000001, -122.392565068 37.7813105050001, -122.391943519 37.7808126140001))"
