Permit Number	Permit Type	Permit Subtype	Status	Description	Site Address	Site APN	Applied Date	Issued Date	Finaled Date
2010-655873	PHOTOVOLTAIC	NULL	FINALED	PV	1525 MONTEBELLO OAKS CT	19717079	9/7/2010	9/7/2010	11/18/2010
2010-655885	MULTI FAMILY	NULL	FINALED	Condominium	960 N SAN ANTONIO RD 121	16762001	9/8/2010	9/8/2010	6/24/2013
2010-655889	MULTI FAMILY	NULL	FINALED	Condominium	960 N SAN ANTONIO RD 122	16716047	9/8/2010	9/8/2010	6/24/2013
2010-655890	MULTI FAMILY	NULL	FINALED	Condominium	960 N SAN ANTONIO RD 123	16762003	9/8/2010	9/8/2010	6/24/2013
2010-655891	MULTI FAMILY	NULL	FINALED	Condominium	960 N SAN ANTONIO RD 124	16762004	9/8/2010	9/8/2010	6/24/2013
2010-655892	MULTI FAMILY	NULL	FINALED	Condominium	960 N SAN ANTONIO RD 125	16762005	9/8/2010	9/8/2010	6/24/2013
2010-655893	MULTI FAMILY	NULL	FINALED	Condominium	960 N SAN ANTONIO RD 126	16762006	9/8/2010	9/8/2010	6/24/2013
2010-655894	MULTI FAMILY	NULL	FINALED	Condominium	960 N SAN ANTONIO RD 127	16762007	9/8/2010	9/8/2010	6/24/2013
2010-655895	MULTI FAMILY	NULL	FINALED	Condominium	960 N SAN ANTONIO RD 128	16762008	9/8/2010	9/8/2010	6/24/2013
2010-655898	MULTI FAMILY	NULL	FINALED	Condominium	960 N SAN ANTONIO RD 129	16762009	9/8/2010	9/8/2010	6/24/2013
2010-655899	MULTI FAMILY	NULL	FINALED	Condominium	960 N SAN ANTONIO RD 130	16762010	9/8/2010	9/8/2010	6/24/2013
2010-655900	MULTI FAMILY	NULL	FINALED	Condominium	960 N SAN ANTONIO RD 201	16762011	9/8/2010	9/8/2010	6/24/2013
2010-655901	MULTI FAMILY	NULL	FINALED	Condominium	960 N SAN ANTONIO RD 202	16762012	9/8/2010	9/8/2010	6/24/2013
2010-655902	MULTI FAMILY	NULL	FINALED	Condominium	960 N SAN ANTONIO RD 203	16762013	9/8/2010	9/8/2010	6/24/2013
2010-655903	MULTI FAMILY	NULL	FINALED	Condominium	960 N SAN ANTONIO RD 204	16762014	9/8/2010	9/8/2010	6/24/2013
2010-655904	MULTI FAMILY	NULL	FINALED	Condominium	960 N SAN ANTONIO RD 205	16762015	9/8/2010	9/8/2010	6/24/2013
2010-655906	MULTI FAMILY	NULL	FINALED	Condominium	960 N SAN ANTONIO RD 206	16762016	9/8/2010	9/8/2010	6/24/2013
2010-655907	MULTI FAMILY	NULL	FINALED	Condominium	960 N SAN ANTONIO RD 207	16762017	9/8/2010	9/8/2010	6/24/2013
2010-655908	MULTI FAMILY	NULL	FINALED	Condominium	960 N SAN ANTONIO RD 208	16762018	9/8/2010	9/8/2010	6/24/2013
2010-655909	MULTI FAMILY	NULL	FINALED	Condominium	960 N SAN ANTONIO RD 209	16762019	9/8/2010	9/8/2010	6/24/2013
2010-655910	MULTI FAMILY	NULL	FINALED	Condominium	960 N SAN ANTONIO RD 210	16762020	9/8/2010	9/8/2010	6/24/2013
2010-655911	MULTI FAMILY	NULL	FINALED	Condominium	960 N SAN ANTONIO RD 211	16762021	9/8/2010	9/8/2010	6/24/2013
