City,Units permitted (2015-2019),Mean underproduction,Units built to units claimed ratio on matched sites,RHNA Success,Units permitted / claimed capacity,Units permitted via BPS / claimed capacity,P(inventory) for homes built,P(inventory) for projects built,"P(inventory) for BMR units, 100% AH projects only",# 100% AH matches / # 100% AH BMR permits,P(inventory) for BMR units,# BMR units matched / # BMR units,P(dev) for nonvacant sites,P(dev) for vacant sites,P(dev) for inventory,# nonvacant matches,# vacant matches,# matches
Alameda,1161.0,0.7049487470694806,0.5932055749128919,0.67382472431805,0.5171492204899777,0.46369710467706016,0.58656330749354,0.06766917293233082,0.3855421686746988,1 / 3,0.24305555555555555,70 / 288,0.2857142857142857,0.2727272727272727,0.2777777777777778,2 / 7,3 / 11,5 / 18
Albany,258.0,0.5416666666666666,0.9411764705882353,0.7701492537313432,0.6339066339066339,0.5257985257985258,0.7403100775193798,0.16455696202531644,,0 / 0,,0.0 / 0.0,0.058823529411764705,0.125,0.07317073170731707,1 / 17,1 / 8,3 / 41
American Canyon,382.0,,,0.9744897959183674,0.6571025561633467,0.4007981559844497,0.0,0.0,0.0,0 / 1,0.0,0 / 170,0.0,0.0,0.0,0 / 5,0 / 25,0 / 30
Antioch,607.0,,,0.4191988950276243,0.33169398907103825,0.37759562841530053,0.0,0.0,,0 / 0,0.0,0 / 168,0.0,0.0,0.0,0 / 6,0 / 3,0 / 9
Atherton,101.0,0.8333333333333334,0.75,1.086021505376344,0.5401069518716578,0.7433155080213903,0.0297029702970297,0.029411764705882353,,0 / 0,,0.0 / 0.0,0.041666666666666664,,0.041666666666666664,3 / 72,0 / 0,3 / 72
Belmont,149.0,1.0028169014084507,1.025,0.31837606837606836,0.2933070866141732,0.18700787401574803,0.7651006711409396,0.2391304347826087,,0 / 0,,0.0 / 0.0,0.09090909090909091,0.16981132075471697,0.09734513274336283,1 / 11,9 / 53,11 / 113
Belvedere,4.0,1.0,1.0,0.25,0.23529411764705882,1.0,0.25,0.16666666666666666,,0 / 0,,0.0 / 0.0,,0.058823529411764705,0.058823529411764705,0 / 0,1 / 17,1 / 17
Benicia,22.0,0.9062304602686696,0.8547008547008547,0.0672782874617737,0.03669541140560105,0.03669541140560105,0.5,0.5,,0 / 0,,0.0 / 0.0,,0.061224489795918366,0.06060606060606061,0 / 0,6 / 98,6 / 99
Berkeley,1594.0,3.289267815986591,4.973531946325249,0.5386955052382562,0.2967226480914069,0.26675254373587587,0.2534504391468005,0.042682926829268296,0.0,0 / 2,0.046153846153846156,12 / 260,0.023952095808383235,0.02531645569620253,0.024752475247524754,4 / 167,6 / 237,10 / 404
Brentwood,2312.0,1.461188786509933,1.0880503144654088,3.042105263157895,2.1348107109879964,2.0295475530932596,0.13538062283737023,0.1371603856266433,,0 / 0,,0.0 / 0.0,0.04,0.10303030303030303,0.09473684210526316,1 / 25,17 / 165,18 / 190
Brisbane,41.0,1.4138888888888888,0.9333333333333333,0.4939759036144578,0.05401844532279315,0.03689064558629776,0.6829268292682927,0.8235294117647058,,0 / 0,,0.0 / 0.0,0.036065573770491806,0.06140350877192982,0.04295942720763723,11 / 305,7 / 114,18 / 419
Burlingame,474.0,3.421973244147158,2.8120805369127515,0.5492468134414832,0.4121739130434783,0.42782608695652175,0.8945147679324894,0.12727272727272726,,0 / 0,,0.0 / 0.0,0.06756756756756757,,0.07894736842105263,5 / 74,0 / 0,6 / 76
Calistoga,86.0,1.5340909090909092,2.1333333333333333,3.185185185185185,0.20187793427230047,0.12441314553990611,0.3953488372093023,0.13157894736842105,1.0,1 / 1,1.0,58 / 58,0.5,0.06666666666666667,0.125,1 / 2,1 / 15,4 / 32
Campbell,413.0,3.0403084150326793,2.2045454545454546,0.44265809217577706,0.3619631901840491,0.4075372480280456,0.7046004842615012,0.24,,0 / 0,1.0,30 / 30,0.09174311926605505,0.16666666666666666,0.09448818897637795,10 / 109,2 / 12,12 / 127
Clayton,10.0,0.5113636363636364,0.14,0.07092198581560284,0.03816793893129771,,0.7,0.6363636363636364,,0 / 0,,0.0 / 0.0,0.18181818181818182,0.0,0.08695652173913043,2 / 11,0 / 8,2 / 23
Cloverdale,114.0,1.0381642512077294,0.82,0.5402843601895735,0.20577617328519857,0.06859205776173286,0.35964912280701755,0.2564102564102564,,0 / 0,,0.0 / 0.0,0.18181818181818182,0.2413793103448276,0.14516129032258066,2 / 11,7 / 29,9 / 62
Colma,75.0,2.5384615384615383,2.5384615384615383,1.271186440677966,2.8846153846153846,0.3076923076923077,0.88,0.08333333333333333,,0 / 0,1.0,130 / 130,,,1.0,0 / 0,0 / 0,1 / 1
Concord,225.0,0.6605442176870747,0.38461538461538464,0.06469235192639448,0.05660377358490566,0.08880503144654088,0.20444444444444446,0.2830188679245283,,0 / 0,,0.0 / 0.0,0.041666666666666664,0.1282051282051282,0.07588075880758807,4 / 96,10 / 78,28 / 369
Corte Madera,33.0,1.0,1.0,0.4583333333333333,0.5409836065573771,0.0,0.5454545454545454,0.16666666666666666,,0 / 0,1.0,4 / 4,0.0,0.3,0.2727272727272727,0 / 1,3 / 10,3 / 11
Cotati,80.0,,,0.583941605839416,0.09019165727170236,0.05186020293122886,0.7,0.6521739130434783,,0 / 0,,0.0 / 0.0,0.0,0.0,0.4235294117647059,0 / 7,0 / 31,36 / 85
Cupertino,263.0,1.7272727272727273,1.7272727272727273,0.24718045112781956,0.16540880503144653,0.2742138364779874,0.07604562737642585,0.018867924528301886,,0 / 0,1.0,36 / 36,,,0.07142857142857142,0 / 0,0 / 0,2 / 28
Daly City,710.0,4.12,4.12,0.5259259259259259,1.3421550094517958,1.1474480151228734,0.39436619718309857,0.15432098765432098,1.0,1 / 1,1.0,408 / 408,0.0,0.16666666666666666,0.20454545454545456,0 / 7,1 / 6,9 / 44
Danville,545.0,0.9887229596853491,1.9823529411764707,0.9784560143626571,0.6646341463414634,0.37317073170731707,0.708256880733945,0.3522267206477733,,0 / 0,1.0,40 / 40,0.24,0.0,0.15476190476190477,6 / 25,0 / 12,13 / 84
Dixon,185.0,0.35532334114184777,0.25203252032520324,0.9390862944162437,0.18743667679837892,0.5430597771023303,0.41621621621621624,0.41397849462365593,,0 / 0,,0.0 / 0.0,0.0,0.36363636363636365,0.3157894736842105,0 / 2,4 / 11,6 / 19
Dublin,3745.0,0.7374684343434343,0.26877470355731226,1.6389496717724288,1.1393367812595072,1.138728323699422,0.022963951935914554,0.007280513918629551,0.0,0 / 1,0.0,0 / 130,0.037037037037037035,0.125,0.0641025641025641,2 / 54,3 / 24,5 / 78
East Palo Alto,92.0,0.15056022408963585,0.12383900928792571,0.19700214132762311,0.30882846592816376,0.22490768714333667,0.043478260869565216,0.07407407407407407,,0 / 0,,0.0 / 0.0,0.07407407407407407,0.0,0.05128205128205128,2 / 27,0 / 8,2 / 39
El Cerrito,369.0,,,0.9271356783919598,0.41045606229143494,0.3470522803114572,0.016260162601626018,0.0821917808219178,,0 / 0,0.0,0 / 136,0.0,0.06493506493506493,0.05042016806722689,0 / 6,5 / 77,6 / 119
Emeryville,499.0,,,0.33311081441922563,0.16556071665560718,0.1267418712674187,0.0,0.0,,0 / 0,0.0,0 / 202,0.0,0.0,0.0,0 / 5,0 / 3,0 / 39
Fairfax,82.0,1.35,1.35,1.3442622950819672,0.5694444444444444,0.027777777777777776,0.6585365853658537,0.034482758620689655,,0 / 0,1.0,106 / 106,0.02631578947368421,0.0,0.019230769230769232,1 / 38,0 / 14,1 / 52
Fairfield,1731.0,0.9616666666666667,0.2706270627062706,0.5583870967741935,0.2697522206638616,0.29063425276609006,0.04737146158290006,0.05659075224292615,,0 / 0,,0.0 / 0.0,0.0,0.012987012987012988,0.023255813953488372,0 / 2,1 / 77,2 / 86
Fremont,5892.0,0.8969705051297366,0.946394919738292,1.0801099908340972,0.857354009214051,0.8935863833305309,0.19653767820773932,0.08345864661654136,0.0,0 / 3,0.0,0 / 1524,0.0851063829787234,0.09523809523809523,0.08641975308641975,12 / 141,2 / 21,14 / 162
Gilroy,1406.0,0.05714285714285714,0.05714285714285714,1.2922794117647058,2.2037617554858935,4.001567398119122,0.12731152204836416,0.17882117882117882,0.0,0 / 1,0.0,0 / 670,0.0,0.2,0.20512820512820512,0 / 3,1 / 5,8 / 39
Half Moon Bay,57.0,0.8355866666666667,0.090625,0.2375,0.058762886597938144,0.19278350515463918,0.6140350877192983,0.609375,,0 / 0,,0.0 / 0.0,0.16666666666666666,0.07339449541284404,0.04468412942989214,2 / 12,24 / 327,29 / 649
Hayward,2006.0,0.5695984238831728,0.5218216318785579,0.511734693877551,0.6700066800267201,0.9432197728790915,0.27018943170488535,0.3701149425287356,,0 / 0,0.7468354430379747,118 / 158,0.19298245614035087,0.07894736842105263,0.12021857923497267,11 / 57,3 / 38,22 / 183
Healdsburg,241.0,0.4054184173669468,0.2982456140350877,1.535031847133758,0.49284253578732107,0.35787321063394684,0.07053941908713693,0.05747126436781609,0.11764705882352941,1 / 4,0.21621621621621623,16 / 74,0.14285714285714285,0.1388888888888889,0.13333333333333333,3 / 21,5 / 36,8 / 60
Hercules,739.0,0.0035919540229885057,0.0035919540229885057,1.0835777126099706,0.2716911764705882,0.09338235294117647,0.006765899864682003,0.03333333333333333,,0 / 0,,0.0 / 0.0,,0.07142857142857142,0.07142857142857142,0 / 0,1 / 14,1 / 14
Lafayette,313.0,0.875,0.972972972972973,0.7825,0.4960380348652932,,0.28753993610223644,0.08247422680412371,,0 / 0,0.5,8 / 16,0.0625,0.3333333333333333,0.041666666666666664,1 / 16,1 / 3,3 / 72
Larkspur,20.0,,,0.15151515151515152,0.2564102564102564,0.358974358974359,0.05,0.058823529411764705,,0 / 0,,0.0 / 0.0,0.0,,0.05263157894736842,0 / 3,0 / 0,1 / 19
