City,"P(dev) for inventory, 8 years, ground truth","P(dev) for inventory, 8 years, ABAG"
Los Altos,0.2526315789473683,0.19649122807017538
San Francisco,0.09714503235629984,0.07308717167872096
San Jose,0.09354838709677409,0.13870967741935472
