City,Mean underproduction,Units built to units claimed ratio on matched sites,RHNA Success,Units permitted / claimed capacity,P(inventory) for homes built,P(inventory) for projects built,P(dev) for nonvacant sites,P(dev) for vacant sites,P(dev) for inventory,# nonvacant matches,# vacant matches,# matches
Healdsburg,0.27509803921568626,0.1891891891891892,1.535031847133758,0.49284253578732107,0.029045643153526972,0.040229885057471264,0.09523809523809523,0.08333333333333333,0.08333333333333333,2 / 21,3 / 36,5 / 60
Hercules,,,1.0835777126099706,0.2716911764705882,0.0,0.0,,0.0,0.0,0 / 0,0 / 14,0 / 14
Lafayette,0.875,0.972972972972973,0.7825,0.4960380348652932,0.23003194888178913,0.07216494845360824,0.0625,0.3333333333333333,0.027777777777777776,1 / 16,1 / 3,2 / 72
Larkspur,,,0.15151515151515152,0.2564102564102564,0.05,0.058823529411764705,0.0,,0.05263157894736842,0 / 3,0 / 0,1 / 19
Livermore,1.2894985519303872,0.8531289910600255,0.6947599853426163,0.5489287782281412,0.5833333333333334,0.5770750988142292,0.09574468085106383,0.23300970873786409,0.16336633663366337,9 / 94,24 / 103,33 / 202
Los Altos,0.9285714285714286,0.7647058823529411,0.6561844863731656,1.2155339805825243,0.04153354632587859,0.03686635944700461,0.029411764705882353,0.2608695652173913,0.12280701754385964,1 / 34,6 / 23,7 / 57
Los Altos Hills,0.6805555555555556,0.5,0.9421487603305785,0.3202247191011236,0.20175438596491227,0.2,0.04201680672268908,0.26666666666666666,0.07913669064748201,5 / 119,4 / 15,11 / 139
Los Gatos,,,0.19224555735056542,0.14968553459119496,0.0,0.0,0.0,0.0,0.0,0 / 6,0 / 3,0 / 36
Martinez,0.8314130434782608,0.3627450980392157,0.14925373134328357,0.05098324836125273,0.5285714285714286,0.3888888888888889,0.0,0.03319502074688797,0.0299625468164794,0 / 26,8 / 241,8 / 267
Menlo Park,3.143588441629615,2.21234289330599,1.6625954198473283,0.584092440588465,0.3948576675849403,0.17721518987341772,0.0625,0.05405405405405406,0.0653061224489796,13 / 208,2 / 37,16 / 245
Mill Valley,1.0,1.0,0.6434108527131783,0.43005181347150256,0.012048192771084338,0.012048192771084338,0.0,0.03333333333333333,0.017857142857142856,0 / 25,1 / 30,1 / 56
Millbrae,,,0.027149321266968326,0.011974852809100888,0.0,0.0,0.0,0.0,0.0,0 / 125,0 / 4,0 / 132
Milpitas,0.4848516636218902,0.32462101411395716,0.613677811550152,0.2517456359102244,0.8945022288261516,0.5740740740740741,0.2222222222222222,0.0,0.09941520467836257,4 / 18,0 / 7,17 / 171
Monte Sereno,,,0.6885245901639344,1.2727272727272727,0.0,0.0,0.0,,0.0,0 / 5,0 / 0,0 / 6
Moraga,0.8,0.8,0.3406113537117904,0.094316807738815,0.05128205128205128,0.018867924528301886,0.0,0.029411764705882353,0.024390243902439025,0 / 1,1 / 34,1 / 41
Morgan Hill,1.671654137103306,0.7025641025641025,1.9170258620689655,1.3790697674418604,0.23102866779089376,0.23669064748201438,,0.175,0.2125,0 / 0,14 / 80,17 / 80
Mountain View,8.296181677692,1.3972468043264503,0.9853041695146958,0.8964552238805971,0.5435310440513355,0.4111969111969112,0.2,0.2857142857142857,0.12903225806451613,5 / 25,2 / 7,12 / 93
Napa,1.1869189633895516,1.1620111731843576,1.1437125748502994,0.6744350282485876,0.21780104712041884,0.20863309352517986,0.10810810810810811,0.09523809523809523,0.08080808080808081,4 / 37,4 / 42,8 / 99
Newark,0.572086349907158,0.3864628820960699,1.0974025974025974,0.7231051344743277,0.9822485207100592,0.9811659192825112,0.1111111111111111,0.25,0.16312056737588654,1 / 9,1 / 4,23 / 141
Novato,3.2777777777777777,5.1,0.5686746987951807,0.3913764510779436,0.21610169491525424,0.025974025974025976,,,0.029411764705882353,0 / 0,0 / 0,2 / 68
Oakland,2.8583933432938116,1.7688611244593946,1.2879105993904505,1.7826942908034125,0.2708771560790913,0.03216374269005848,,,0.0782608695652174,0 / 0,0 / 0,27 / 345
Oakley,0.1,0.1,1.0496575342465753,2.9902439024390244,0.00734094616639478,0.00779896013864818,0.0,1.0,0.14285714285714285,0 / 6,1 / 1,1 / 7
Pacifica,,,0.2033898305084746,0.1935483870967742,0.0,0.0,0.0,0.0,0.0,0 / 18,0 / 9,0 / 43
Palo Alto,0.8083333333333332,0.8709677419354839,0.2545271629778672,0.3121529919802591,0.0533596837944664,0.025477707006369428,0.01818181818181818,0.0,0.01775147928994083,3 / 165,0 / 4,3 / 169
Petaluma,0.703630664826317,0.847457627118644,0.9583892617449664,0.20266818052795912,0.5196078431372549,0.11918604651162791,,,0.09302325581395349,0 / 0,0 / 0,8 / 86
Piedmont,1.0,1.0,0.7,0.711864406779661,0.023809523809523808,0.015625,,0.017241379310344827,0.017241379310344827,0 / 0,1 / 58,1 / 58
Pinole,1.0,1.0,0.04377104377104377,0.026530612244897958,0.07692307692307693,0.07142857142857142,0.0,0.03225806451612903,0.016666666666666666,0 / 4,1 / 31,1 / 60
Pittsburg,1.0772233053261422,0.7643391521197007,0.8187654320987654,0.338989981598855,0.36972255729794934,0.021311475409836064,0.14285714285714285,0.23529411764705882,0.21428571428571427,1 / 7,4 / 17,6 / 28
Pleasant Hill,,,0.3482142857142857,0.3305084745762712,0.00641025641025641,0.007246376811594203,,,0.034482758620689655,0 / 0,0 / 0,1 / 29
Pleasanton,0.8180162463168709,0.8552941176470589,0.7822931785195936,0.5162835249042146,0.45701917130488556,0.21140142517814728,0.25,0.27586206896551724,0.22058823529411764,3 / 12,8 / 29,15 / 68
Portola Valley,1.2857142857142858,1.2857142857142858,1.015625,0.48148148148148145,0.18461538461538463,0.2,,0.09210526315789473,0.11538461538461539,0 / 0,7 / 76,9 / 78
Redwood City,2.4,2.4,0.6328433130154177,0.5295529552955296,0.013597733711048159,0.0136986301369863,0.0,0.07692307692307693,0.017857142857142856,0 / 15,1 / 13,1 / 56
Richmond,0.9975457401145185,0.7599671618347444,0.34743326488706366,0.3970222718145361,0.00591016548463357,0.018656716417910446,,0.02242152466367713,0.02242152466367713,0 / 0,5 / 223,5 / 223
Rio Vista,0.5567765567765568,0.5567765567765568,1.2709030100334449,0.07535197303192544,0.4,0.39790575916230364,,0.043478260869565216,0.043478260869565216,0 / 0,1 / 23,1 / 23
Rohnert Park,,,1.4149054505005563,4.184210526315789,0.07075471698113207,0.0014184397163120568,0.0,0.0,0.02857142857142857,0 / 3,0 / 1,1 / 35
Ross,,,0.8888888888888888,0.36363636363636365,0.0,0.0,0.0,0.0,0.0,0 / 8,0 / 11,0 / 25
San Anselmo,1.0,1.0,0.6509433962264151,0.21428571428571427,0.3333333333333333,0.20512820512820512,0.043478260869565216,,0.053691275167785234,1 / 23,0 / 0,8 / 149
San Bruno,0.8547008547008547,0.4266666666666667,0.21471861471861473,0.4601113172541744,0.12903225806451613,0.05084745762711865,0.3333333333333333,,0.3333333333333333,2 / 6,0 / 0,2 / 6
San Carlos,2.425,1.5434782608695652,0.8573825503355704,0.3634423897581792,0.13894324853228962,0.2465753424657534,0.022292993630573247,0.05405405405405406,0.02849002849002849,7 / 314,2 / 37,10 / 351
San Francisco,4.114243769739487,2.04704,0.7698569399702102,0.47077887690906395,0.28782902137232846,0.1705170517051705,0.028607918263090677,0.04555638536221061,0.046631138180433955,112 / 3915,61 / 1339,245 / 5254
San Jose,0.9485162496091504,0.7145174371451744,0.35923603192702397,0.5560745251060897,0.34954769084272336,0.2366288492706645,0.06910569105691057,0.084,0.08870967741935484,17 / 246,21 / 250,44 / 496
San Leandro,0.8333333333333333,0.7142857142857143,0.06034105815478793,0.06920762286860582,0.036231884057971016,0.10204081632653061,0.0,0.029411764705882353,0.014285714285714285,0 / 53,1 / 34,2 / 140
