City,P(dev) for nonvacant sites,P(dev) for vacant sites,P(dev) for inventory,# nonvacant matches,# vacant matches,# matches
Sonoma,0.0,0.0,0.0,0 / 13,0 / 5,0 / 23
South San Francisco,0.0,0.0,0.0,0 / 25,0 / 10,0 / 35
Suisun City,0.0,0.0,0.0,0 / 1,0 / 31,0 / 36
Sunnyvale,0.003424657534246575,0.0,0.0033333333333333335,1 / 292,0 / 5,1 / 300
Tiburon,0.0,0.0,0.0,0 / 3,0 / 2,0 / 5
Union City,0.0,0.0,0.0,0 / 6,0 / 15,0 / 35
Vacaville,0.0,0.0,0.0,0 / 44,0 / 70,0 / 130
Vallejo,,0.006666666666666667,0.006622516556291391,0 / 0,2 / 300,2 / 302
Walnut Creek,0.0,0.0,0.0,0 / 121,0 / 2,0 / 124
Windsor,0.0,0.0,0.0,0 / 3,0 / 4,0 / 51
Woodside,,0.022556390977443608,0.022556390977443608,0 / 0,6 / 266,6 / 266
Yountville,0.0,0.0,0.0,0 / 5,0 / 9,0 / 14
Overall,0.003465982028241335,0.007210626185958254,0.004190476190476191,27 / 7790,38 / 5270,66 / 15750
