City,Units permitted (2015-2019),Mean underproduction,Units built to units claimed ratio on matched sites,RHNA Success,Units permitted / claimed capacity,P(inventory) for homes built,P(inventory) for projects built,P(dev) for nonvacant sites,P(dev) for vacant sites,P(dev) for inventory,# nonvacant matches,# vacant matches,# matches
Mountain View,2883.0,8.753160289542274,0.7695906432748538,0.9853041695146958,0.8964552238805971,0.2282344779743323,0.10424710424710425,0.12,0.14285714285714285,0.053763440860215055,3 / 25,1 / 7,5 / 93
Napa,955.0,1.1733511586452763,0.9710144927536232,1.1437125748502994,0.6744350282485876,0.07015706806282722,0.011990407673860911,0.08108108108108109,0.0,0.030303030303030304,3 / 37,0 / 42,3 / 99
Newark,1183.0,,,1.0974025974025974,0.7231051344743277,0.0008453085376162299,0.0008968609865470852,0.0,0.0,0.0070921985815602835,0 / 9,0 / 4,1 / 141
Novato,236.0,3.2777777777777777,5.1,0.5686746987951807,0.3913764510779436,0.21610169491525424,0.025974025974025976,,,0.029411764705882353,0 / 0,0 / 0,2 / 68
Oakland,19016.0,1.9841584456045995,1.4236149972020145,1.2879105993904505,1.7826942908034125,0.19835927639882203,0.02046783625730994,,,0.05507246376811594,0 / 0,0 / 0,19 / 345
Oakley,1226.0,,,1.0496575342465753,2.9902439024390244,0.0,0.0,0.0,0.0,0.0,0 / 6,0 / 1,0 / 7
Pacifica,84.0,,,0.2033898305084746,0.1935483870967742,0.0,0.0,0.0,0.0,0.0,0 / 18,0 / 9,0 / 43
Palo Alto,506.0,1.0,1.0,0.2545271629778672,0.3121529919802591,0.025691699604743084,0.012738853503184714,0.006060606060606061,0.0,0.005917159763313609,1 / 165,0 / 4,1 / 169
Petaluma,714.0,0.8202173913043478,0.7864583333333334,0.9583892617449664,0.20266818052795912,0.211484593837535,0.005813953488372093,,,0.023255813953488372,0 / 0,0 / 0,2 / 86
Piedmont,42.0,1.0,1.0,0.7,0.711864406779661,0.023809523809523808,0.015625,,0.017241379310344827,0.017241379310344827,0 / 0,1 / 58,1 / 58
Pinole,13.0,1.0,1.0,0.04377104377104377,0.026530612244897958,0.07692307692307693,0.07142857142857142,0.0,0.03225806451612903,0.016666666666666666,0 / 4,1 / 31,1 / 60
Pittsburg,1658.0,1.3262626262626263,1.0128913443830572,0.8187654320987654,0.338989981598855,0.33172496984318456,0.009836065573770493,0.14285714285714285,0.11764705882352941,0.10714285714285714,1 / 7,2 / 17,3 / 28
Pleasant Hill,156.0,,,0.3482142857142857,0.3305084745762712,0.00641025641025641,0.007246376811594203,,,0.034482758620689655,0 / 0,0 / 0,1 / 29
Pleasanton,1617.0,0.9289749798224375,0.8867438867438867,0.7822931785195936,0.5162835249042146,0.43351886209029067,0.1330166270783848,0.08333333333333333,0.2413793103448276,0.16176470588235295,1 / 12,7 / 29,11 / 68
Portola Valley,65.0,1.3333333333333333,1.3333333333333333,1.015625,0.48148148148148145,0.12307692307692308,0.13333333333333333,,0.07894736842105263,0.07692307692307693,0 / 0,6 / 76,6 / 78
Redwood City,1765.0,2.4,2.4,0.6328433130154177,0.5295529552955296,0.013597733711048159,0.0136986301369863,0.0,0.07692307692307693,0.017857142857142856,0 / 15,1 / 13,1 / 56
Richmond,846.0,1.0303255067907617,0.9216477931066931,0.34743326488706366,0.3970222718145361,0.00591016548463357,0.018656716417910446,,0.017937219730941704,0.017937219730941704,0 / 0,4 / 223,4 / 223
Rio Vista,380.0,,,1.2709030100334449,0.07535197303192544,0.0,0.0,,0.0,0.0,0 / 0,0 / 23,0 / 23
Rohnert Park,1272.0,,,1.4149054505005563,4.184210526315789,0.0,0.0,0.0,0.0,0.0,0 / 3,0 / 1,0 / 35
Ross,16.0,,,0.8888888888888888,0.36363636363636365,0.0,0.0,0.0,0.0,0.0,0 / 8,0 / 11,0 / 25
San Anselmo,69.0,1.0,1.0,0.6509433962264151,0.21428571428571427,0.3188405797101449,0.1794871794871795,0.043478260869565216,,0.04697986577181208,1 / 23,0 / 0,7 / 149
San Bruno,248.0,0.8547008547008547,0.4266666666666667,0.21471861471861473,0.4601113172541744,0.12903225806451613,0.05084745762711865,0.3333333333333333,,0.3333333333333333,2 / 6,0 / 0,2 / 6
San Carlos,511.0,2.2738095238095237,1.9259259259259258,0.8573825503355704,0.3634423897581792,0.10176125244618395,0.0958904109589041,0.01910828025477707,0.02702702702702703,0.019943019943019943,6 / 314,1 / 37,7 / 351
San Francisco,22225.0,4.750314454132182,2.103976801988401,0.7698569399702102,0.47077887690906395,0.22852643419572555,0.08635863586358636,0.024265644955300127,0.037341299477221805,0.027598020555767034,95 / 3915,50 / 1339,145 / 5254
San Jose,12602.0,1.082885372931937,0.8466666666666667,0.35923603192702397,0.5560745251060897,0.1410887160768132,0.032955159373311727,0.032520325203252036,0.06,0.046370967741935484,8 / 246,15 / 250,23 / 496
San Leandro,138.0,1.0,1.0,0.06034105815478793,0.06920762286860582,0.007246376811594203,0.02040816326530612,0.0,0.029411764705882353,0.007142857142857143,0 / 53,1 / 34,1 / 140
San Mateo,1504.0,1.3599456818863198,1.2941176470588236,0.48516129032258065,0.354226052896032,0.4973404255319149,0.037037037037037035,0.06666666666666667,0.03333333333333333,0.031914893617021274,2 / 30,1 / 30,3 / 94
San Pablo,53.0,1.0,1.0,0.11804008908685969,0.06892067620286085,0.018867924528301886,0.03125,0.0,0.02631578947368421,0.008,0 / 62,1 / 38,1 / 125
San Rafael,221.0,0.20930232558139536,0.20930232558139536,0.21946375372393248,0.42015209125475284,0.04524886877828054,0.01904761904761905,0.125,0.0,0.028985507246376812,1 / 8,0 / 17,2 / 69
San Ramon,1719.0,0.8571428571428571,0.8571428571428571,1.2131263232180662,0.39059304703476483,0.010471204188481676,0.013595166163141994,0.0,0.0,0.005263157894736842,0 / 30,0 / 4,1 / 190
Santa Clara,4125.0,1.9473648017735383,1.1468624833110814,1.0078182262399218,0.6523801992724972,0.20824242424242423,0.1908713692946058,0.05314009661835749,0.0,0.049773755656108594,11 / 207,0 / 14,11 / 221
Santa Rosa,1650.0,0.1,0.1,0.32461144993114305,1.0891089108910892,0.0006060606060606061,0.0008748906386701663,,,0.029411764705882353,0 / 0,0 / 0,1 / 34
Saratoga,83.0,,,0.18906605922551253,0.3074074074074074,0.0,0.0,0.0,,0.0,0 / 8,0 / 0,0 / 14
Sausalito,20.0,,,0.25316455696202533,0.11173184357541899,0.0,0.0,0.0,0.0,0.0,0 / 60,0 / 27,0 / 87
Sebastopol,27.0,0.75,0.6666666666666666,0.225,0.08681672025723473,0.07407407407407407,0.07142857142857142,,0.044444444444444446,0.04081632653061224,0 / 0,2 / 45,2 / 49
Sonoma,111.0,0.10256410256410256,0.10256410256410256,0.8102189781021898,0.14415584415584415,0.036036036036036036,0.043478260869565216,0.0,0.2,0.043478260869565216,0 / 13,1 / 5,1 / 23
South San Francisco,1084.0,6.1351492297817725,4.310344827586207,0.5815450643776824,0.5002307337332718,0.3459409594095941,0.09523809523809523,0.12,0.1,0.11428571428571428,3 / 25,1 / 10,4 / 35
Suisun City,83.0,,,0.16435643564356436,0.2213923712990131,0.0,0.0,0.0,0.0,0.0,0 / 1,0 / 31,0 / 36
Sunnyvale,2515.0,1.0010057092665787,0.7323568575233023,0.46129860601614087,0.07737509229633276,0.21868787276341947,0.008187134502923977,0.02054794520547945,0.0,0.02,6 / 292,0 / 5,6 / 300
Tiburon,19.0,,,0.24358974358974358,0.3877551020408163,0.0,0.0,0.0,0.0,0.0,0 / 3,0 / 2,0 / 5
Union City,426.0,,,0.38517179023508136,0.4298688193743693,0.0,0.0,0.0,0.0,0.0,0 / 6,0 / 15,0 / 35
Vacaville,1643.0,2.689655172413793,2.689655172413793,1.5156826568265682,0.30857241591730333,0.04747413268411443,0.0012763241863433313,0.0,0.014285714285714285,0.007692307692307693,0 / 44,1 / 70,1 / 130
Vallejo,244.0,0.875,0.8,0.17914831130690162,0.09434071691212008,0.01639344262295082,0.017777777777777778,,0.006666666666666667,0.006622516556291391,0 / 0,2 / 300,2 / 302
Walnut Creek,1194.0,,,0.5342281879194631,0.779373368146214,0.0,0.0,0.0,0.0,0.0,0 / 121,0 / 2,0 / 124
Windsor,189.0,,,0.42954545454545456,0.15278900565885206,0.026455026455026454,0.08064516129032258,0.0,0.0,0.09803921568627451,0 / 3,0 / 4,5 / 51
Woodside,65.0,,,1.0483870967741935,0.23897058823529413,0.1076923076923077,0.10606060606060606,,0.022556390977443608,0.022556390977443608,0 / 0,6 / 266,6 / 266
Yountville,10.0,0.5,0.5,0.5882352941176471,0.14084507042253522,0.1,0.1,0.0,0.1111111111111111,0.07142857142857142,0 / 5,1 / 9,1 / 14
Overall,122067.0,2.5409101623018877,1.1889090427284916,0.6493270918665887,0.4703475022725347,0.16168989161689892,0.03007866728366497,0.02657252888318357,0.03927893738140417,0.032952380952380955,207 / 7790,207 / 5270,519 / 15750
