City,Units permitted (2015-2019),Mean underproduction,Units built to units claimed ratio on matched sites,RHNA Success,Units permitted / claimed capacity,Units permitted via BPS / claimed capacity,P(inventory) for homes built,P(inventory) for projects built,"P(inventory) for BMR units, 100% AH projects only",# 100% AH matches / # 100% AH BMR permits,P(inventory) for BMR units,# BMR units matched / # BMR units,P(dev) for nonvacant sites,P(dev) for vacant sites,P(dev) for inventory,# nonvacant matches,# vacant matches,# matches
Dublin,3745.0,1.4166666666666667,0.7432432432432432,1.6389496717724288,1.1393367812595072,1.138728323699422,0.014686248331108143,0.0017130620985010706,0.0,0 / 1,0.0,0 / 130,0.037037037037037035,0.0,0.02564102564102564,2 / 54,0 / 24,2 / 78
East Palo Alto,92.0,,,0.19700214132762311,0.30882846592816376,0.22490768714333667,0.0,0.0,,0 / 0,,0.0 / 0.0,0.0,0.0,0.0,0 / 27,0 / 8,0 / 39
El Cerrito,369.0,,,0.9271356783919598,0.41045606229143494,0.3470522803114572,0.01084010840108401,0.0547945205479452,,0 / 0,0.0,0 / 136,0.0,0.03896103896103896,0.03361344537815126,0 / 6,3 / 77,4 / 119
Emeryville,499.0,,,0.33311081441922563,0.16556071665560718,0.1267418712674187,0.0,0.0,,0 / 0,0.0,0 / 202,0.0,0.0,0.0,0 / 5,0 / 3,0 / 39
Fairfax,82.0,1.35,1.35,1.3442622950819672,0.5694444444444444,0.027777777777777776,0.6585365853658537,0.034482758620689655,,0 / 0,1.0,106 / 106,0.02631578947368421,0.0,0.019230769230769232,1 / 38,0 / 14,1 / 52
Fairfield,1731.0,0.25333333333333335,0.25333333333333335,0.5583870967741935,0.2697522206638616,0.29063425276609006,0.0439052570768342,0.05244996549344375,,0 / 0,,0.0 / 0.0,0.0,0.012987012987012988,0.011627906976744186,0 / 2,1 / 77,1 / 86
Fremont,5892.0,1.1295937179311235,1.0574624403730524,1.0801099908340972,0.857354009214051,0.8935863833305309,0.19365241004752207,0.07443609022556391,0.0,0 / 3,0.0,0 / 1524,0.06382978723404255,0.047619047619047616,0.06172839506172839,9 / 141,1 / 21,10 / 162
Gilroy,1406.0,,,1.2922794117647058,2.2037617554858935,4.001567398119122,0.11522048364153627,0.16183816183816183,0.0,0 / 1,0.0,0 / 670,0.0,0.0,0.1794871794871795,0 / 3,0 / 5,7 / 39
Half Moon Bay,57.0,1.0227272727272727,0.875,0.2375,0.058762886597938144,0.19278350515463918,0.3333333333333333,0.296875,,0 / 0,,0.0 / 0.0,0.0,0.03669724770642202,0.02157164869029276,0 / 12,12 / 327,14 / 649
Hayward,2006.0,0.47613793611540123,0.47953216374269003,0.511734693877551,0.6700066800267201,0.9432197728790915,0.2507477567298106,0.34022988505747126,,0 / 0,0.7468354430379747,118 / 158,0.17543859649122806,0.05263157894736842,0.10382513661202186,10 / 57,2 / 38,19 / 183
