City,Units permitted (2015-2019),Mean underproduction,Units built to units claimed ratio on matched sites,RHNA Success,Units permitted / claimed capacity,Units permitted via BPS / claimed capacity,P(inventory) for homes built,P(inventory) for projects built,P(inventory) for BMR units,P(dev) for nonvacant sites,P(dev) for vacant sites,P(dev) for inventory,# nonvacant matches,# vacant matches,# matches
Suisun City,83.0,,,0.16435643564356436,0.2213923712990131,0.245398773006135,0.0,0.0,,0.0,0.0,0.0,0 / 1,0 / 31,0 / 36
Sunnyvale,2515.0,0.707969942500467,0.7054409005628518,0.46129860601614087,0.07737509229633276,0.0946652719665272,0.4485089463220676,0.23976608187134502,1.0,0.07876712328767123,0.0,0.07666666666666666,23 / 292,0 / 5,23 / 300
Tiburon,19.0,,,0.24358974358974358,0.3877551020408163,0.3469387755102041,0.0,0.0,,0.0,0.0,0.0,0 / 3,0 / 2,0 / 5
Union City,426.0,0.8,0.6521739130434783,0.38517179023508136,0.4298688193743693,0.425832492431887,0.07042253521126761,0.019230769230769232,,0.16666666666666666,0.06666666666666667,0.05714285714285714,1 / 6,1 / 15,2 / 35
Vacaville,1643.0,0.6415748244156126,0.4739084132055378,1.5156826568265682,0.30857241591730333,0.3072577434210032,0.3377967133292757,0.3056796426292278,1.0,0.0,0.12857142857142856,0.08461538461538462,0 / 44,9 / 70,11 / 130
Vallejo,244.0,1.4375,1.1428571428571428,0.17914831130690162,0.09434071691212008,0.08274144843931842,0.03278688524590164,0.03111111111111111,,,0.013333333333333334,0.013245033112582781,0 / 0,4 / 300,4 / 302
Walnut Creek,1194.0,3.185838779956427,1.2153846153846153,0.5342281879194631,0.779373368146214,0.7030026109660574,0.1984924623115578,0.01762114537444934,1.0,0.024793388429752067,0.5,0.03225806451612903,3 / 121,1 / 2,4 / 124
Windsor,189.0,,,0.42954545454545456,0.15278900565885206,0.12045270816491511,0.09523809523809523,0.2903225806451613,,0.0,0.0,0.19607843137254902,0 / 3,0 / 4,10 / 51
Woodside,65.0,,,1.0483870967741935,0.23897058823529413,0.15808823529411764,0.09230769230769231,0.09090909090909091,,,0.018796992481203006,0.018796992481203006,0 / 0,5 / 266,5 / 266
Yountville,10.0,0.611111111111111,0.4444444444444444,0.5882352941176471,0.14084507042253522,0.16901408450704225,0.4,0.4,,0.2,0.2222222222222222,0.21428571428571427,1 / 5,2 / 9,3 / 14
Overall,122067.0,2.068411841496388,0.9622813338029319,0.6493270918665887,0.4703475022725347,,0.3079292519681814,0.18009602036094402,0.22350746268656715,0.06469833119383825,0.07210626185958255,0.07041269841269841,504 / 7790,380 / 5270,1109 / 15750
