City,Mean underproduction (by APN),Units built to units claimed ratio on matched sites (by APN),RHNA Success (by APN),Units permitted / claimed capacity (by APN),P(inventory) for homes built (by APN),P(inventory) for projects built (by APN),P(dev) for nonvacant sites (by APN),P(dev) for vacant sites (by APN),P(dev) for inventory (by APN),# nonvacant matches (by APN),# vacant matches (by APN),# matches (by APN),Mean underproduction (by conservative geomatching),Units built to units claimed ratio on matched sites (by conservative geomatching),RHNA Success (by conservative geomatching),Units permitted / claimed capacity (by conservative geomatching),P(inventory) for homes built (by conservative geomatching),P(inventory) for projects built (by conservative geomatching),P(dev) for nonvacant sites (by conservative geomatching),P(dev) for vacant sites (by conservative geomatching),P(dev) for inventory (by conservative geomatching),# nonvacant matches (by conservative geomatching),# vacant matches (by conservative geomatching),# matches (by conservative geomatching),Mean underproduction,Units built to units claimed ratio on matched sites,RHNA Success,Units permitted / claimed capacity,P(inventory) for homes built,P(inventory) for projects built,P(dev) for nonvacant sites,P(dev) for vacant sites,P(dev) for inventory,# nonvacant matches,# vacant matches,# matches,Mean underproduction (by APN or conservative geomatching),Units built to units claimed ratio on matched sites (by APN or conservative geomatching),RHNA Success (by APN or conservative geomatching),Units permitted / claimed capacity (by APN or conservative geomatching),P(inventory) for homes built (by APN or conservative geomatching),P(inventory) for projects built (by APN or conservative geomatching),P(dev) for nonvacant sites (by APN or conservative geomatching),P(dev) for vacant sites (by APN or conservative geomatching),P(dev) for inventory (by APN or conservative geomatching),# nonvacant matches (by APN or conservative geomatching),# vacant matches (by APN or conservative geomatching),# matches (by APN or conservative geomatching),Mean underproduction (by APN or lenient geomatching),Units built to units claimed ratio on matched sites (by APN or lenient geomatching),RHNA Success (by APN or lenient geomatching),Units permitted / claimed capacity (by APN or lenient geomatching),P(inventory) for homes built (by APN or lenient geomatching),P(inventory) for projects built (by APN or lenient geomatching),P(dev) for nonvacant sites (by APN or lenient geomatching),P(dev) for vacant sites (by APN or lenient geomatching),P(dev) for inventory (by APN or lenient geomatching),# nonvacant matches (by APN or lenient geomatching),# vacant matches (by APN or lenient geomatching),# matches (by APN or lenient geomatching)
Brisbane,1.6041666666666667,1.3333333333333333,0.4939759036144578,0.05401844532279315,0.4878048780487805,0.5882352941176471,0.022950819672131147,0.043859649122807015,0.028639618138424822,7 / 305,5 / 114,12 / 419,1.3892857142857142,0.8461538461538461,0.4939759036144578,0.05401844532279315,0.5365853658536586,0.6470588235294118,0.022950819672131147,0.06140350877192982,0.03341288782816229,7 / 305,7 / 114,14 / 419,1.438235294117647,0.9310344827586207,0.4939759036144578,0.05401844532279315,0.6585365853658537,0.7941176470588235,0.022950819672131147,0.06140350877192982,0.0405727923627685,7 / 305,7 / 114,17 / 419,1.43,0.8888888888888888,0.4939759036144578,0.05401844532279315,0.5853658536585366,0.7058823529411765,0.02622950819672131,0.06140350877192982,0.03579952267303103,8 / 305,7 / 114,15 / 419,1.438235294117647,0.9310344827586207,0.4939759036144578,0.05401844532279315,0.6585365853658537,0.7941176470588235,0.02622950819672131,0.06140350877192982,0.0405727923627685,8 / 305,7 / 114,17 / 419
Burlingame,5.278288740245262,5.823529411764706,0.5492468134414832,0.4121739130434783,0.8438818565400844,0.07272727272727272,0.04054054054054054,,0.05263157894736842,3 / 74,0 / 0,4 / 76,4.027466555183947,2.824324324324324,0.5492468134414832,0.4121739130434783,0.890295358649789,0.09090909090909091,0.05405405405405406,,0.06578947368421052,4 / 74,0 / 0,5 / 76,4.027466555183947,2.824324324324324,0.5492468134414832,0.4121739130434783,0.8924050632911392,0.10909090909090909,0.05405405405405406,,0.06578947368421052,4 / 74,0 / 0,5 / 76,4.027466555183947,2.824324324324324,0.5492468134414832,0.4121739130434783,0.890295358649789,0.09090909090909091,0.05405405405405406,,0.06578947368421052,4 / 74,0 / 0,5 / 76,4.027466555183947,2.824324324324324,0.5492468134414832,0.4121739130434783,0.8924050632911392,0.10909090909090909,0.05405405405405406,,0.06578947368421052,4 / 74,0 / 0,5 / 76
Calistoga,2.727272727272727,2.727272727272727,3.185185185185185,0.20187793427230047,0.37209302325581395,0.07894736842105263,0.0,0.06666666666666667,0.09375,0 / 2,1 / 15,3 / 32,,,3.185185185185185,0.20187793427230047,0.011627906976744186,0.02631578947368421,0.0,0.0,0.03125,0 / 2,0 / 15,1 / 32,,,3.185185185185185,0.20187793427230047,0.011627906976744186,0.02631578947368421,0.0,0.0,0.03125,0 / 2,0 / 15,1 / 32,2.727272727272727,2.727272727272727,3.185185185185185,0.20187793427230047,0.37209302325581395,0.07894736842105263,0.0,0.06666666666666667,0.09375,0 / 2,1 / 15,3 / 32,2.727272727272727,2.727272727272727,3.185185185185185,0.20187793427230047,0.37209302325581395,0.07894736842105263,0.0,0.06666666666666667,0.09375,0 / 2,1 / 15,3 / 32
Campbell,4.888888888888888,5.0,0.44265809217577706,0.3619631901840491,0.1089588377723971,0.1,0.027522935779816515,0.0,0.023622047244094488,3 / 109,0 / 12,3 / 127,2.2867758467023176,2.0873015873015874,0.44265809217577706,0.3619631901840491,0.6368038740920097,0.18,0.08256880733944955,0.16666666666666666,0.08661417322834646,9 / 109,2 / 12,11 / 127,2.375377859477124,2.1755725190839694,0.44265809217577706,0.3619631901840491,0.6900726392251816,0.2,0.08256880733944955,0.16666666666666666,0.09448818897637795,9 / 109,2 / 12,12 / 127,3.0247077677224734,2.0225563909774436,0.44265809217577706,0.3619631901840491,0.6513317191283293,0.22,0.10091743119266056,0.16666666666666666,0.10236220472440945,11 / 109,2 / 12,13 / 127,3.047942927170868,2.108695652173913,0.44265809217577706,0.3619631901840491,0.7046004842615012,0.24,0.10091743119266056,0.16666666666666666,0.11023622047244094,11 / 109,2 / 12,14 / 127
Clayton,0.022727272727272728,0.022727272727272728,0.07092198581560284,0.03816793893129771,0.1,0.09090909090909091,0.09090909090909091,0.0,0.043478260869565216,1 / 11,0 / 8,1 / 23,0.34469696969696967,0.1,0.07092198581560284,0.03816793893129771,0.5,0.45454545454545453,0.18181818181818182,0.0,0.08695652173913043,2 / 11,0 / 8,2 / 23,0.34469696969696967,0.1,0.07092198581560284,0.03816793893129771,0.5,0.45454545454545453,0.18181818181818182,0.0,0.08695652173913043,2 / 11,0 / 8,2 / 23,0.34469696969696967,0.1,0.07092198581560284,0.03816793893129771,0.5,0.45454545454545453,0.18181818181818182,0.0,0.08695652173913043,2 / 11,0 / 8,2 / 23,0.34469696969696967,0.1,0.07092198581560284,0.03816793893129771,0.5,0.45454545454545453,0.18181818181818182,0.0,0.08695652173913043,2 / 11,0 / 8,2 / 23
Cloverdale,1.3047619047619048,1.8571428571428572,0.5402843601895735,0.20577617328519857,0.34210526315789475,0.20512820512820512,0.0,0.2413793103448276,0.11290322580645161,0 / 11,7 / 29,7 / 62,1.0442028985507246,0.875,0.5402843601895735,0.20577617328519857,0.30701754385964913,0.10256410256410256,0.09090909090909091,0.10344827586206896,0.06451612903225806,1 / 11,3 / 29,4 / 62,1.0442028985507246,0.875,0.5402843601895735,0.20577617328519857,0.30701754385964913,0.10256410256410256,0.09090909090909091,0.10344827586206896,0.06451612903225806,1 / 11,3 / 29,4 / 62,1.1471014492753624,0.9090909090909091,0.5402843601895735,0.20577617328519857,0.3508771929824561,0.23076923076923078,0.09090909090909091,0.2413793103448276,0.12903225806451613,1 / 11,7 / 29,8 / 62,1.1471014492753624,0.9090909090909091,0.5402843601895735,0.20577617328519857,0.3508771929824561,0.23076923076923078,0.09090909090909091,0.2413793103448276,0.12903225806451613,1 / 11,7 / 29,8 / 62
Colma,2.5384615384615383,2.5384615384615383,1.271186440677966,2.8846153846153846,0.88,0.08333333333333333,,,1.0,0 / 0,0 / 0,1 / 1,,,1.271186440677966,2.8846153846153846,0.0,0.0,,,0.0,0 / 0,0 / 0,0 / 1,,,1.271186440677966,2.8846153846153846,0.0,0.0,,,0.0,0 / 0,0 / 0,0 / 1,2.5384615384615383,2.5384615384615383,1.271186440677966,2.8846153846153846,0.88,0.08333333333333333,,,1.0,0 / 0,0 / 0,1 / 1,2.5384615384615383,2.5384615384615383,1.271186440677966,2.8846153846153846,0.88,0.08333333333333333,,,1.0,0 / 0,0 / 0,1 / 1
Concord,0.5388888888888889,0.3333333333333333,0.06469235192639448,0.05660377358490566,0.04888888888888889,0.12578616352201258,0.020833333333333332,0.1282051282051282,0.04336043360433604,2 / 96,10 / 78,16 / 369,0.7060606060606059,0.8,0.06469235192639448,0.05660377358490566,0.10666666666666667,0.20754716981132076,0.010416666666666666,0.1282051282051282,0.056910569105691054,1 / 96,10 / 78,21 / 369,0.7060606060606059,0.8,0.06469235192639448,0.05660377358490566,0.1288888888888889,0.24528301886792453,0.010416666666666666,0.1282051282051282,0.06504065040650407,1 / 96,10 / 78,24 / 369,0.6555555555555556,0.5666666666666667,0.06469235192639448,0.05660377358490566,0.1111111111111111,0.2138364779874214,0.020833333333333332,0.1282051282051282,0.05962059620596206,2 / 96,10 / 78,22 / 369,0.6555555555555556,0.5666666666666667,0.06469235192639448,0.05660377358490566,0.13333333333333333,0.25157232704402516,0.020833333333333332,0.1282051282051282,0.06775067750677506,2 / 96,10 / 78,25 / 369
Corte Madera,1.0,1.0,0.4583333333333333,0.5409836065573771,0.5454545454545454,0.16666666666666666,0.0,0.3,0.2727272727272727,0 / 1,3 / 10,3 / 11,1.0,1.0,0.4583333333333333,0.5409836065573771,0.5454545454545454,0.16666666666666666,0.0,0.3,0.2727272727272727,0 / 1,3 / 10,3 / 11,1.0,1.0,0.4583333333333333,0.5409836065573771,0.5454545454545454,0.16666666666666666,0.0,0.3,0.2727272727272727,0 / 1,3 / 10,3 / 11,1.0,1.0,0.4583333333333333,0.5409836065573771,0.5454545454545454,0.16666666666666666,0.0,0.3,0.2727272727272727,0 / 1,3 / 10,3 / 11,1.0,1.0,0.4583333333333333,0.5409836065573771,0.5454545454545454,0.16666666666666666,0.0,0.3,0.2727272727272727,0 / 1,3 / 10,3 / 11
Cotati,,,0.583941605839416,0.09019165727170236,0.5125,0.5942028985507246,0.0,0.0,0.38823529411764707,0 / 7,0 / 31,33 / 85,,,0.583941605839416,0.09019165727170236,0.4375,0.5072463768115942,0.0,0.0,0.4117647058823529,0 / 7,0 / 31,35 / 85,,,0.583941605839416,0.09019165727170236,0.4375,0.5072463768115942,0.0,0.0,0.4117647058823529,0 / 7,0 / 31,35 / 85,,,0.583941605839416,0.09019165727170236,0.5375,0.6231884057971014,0.0,0.0,0.4117647058823529,0 / 7,0 / 31,35 / 85,,,0.583941605839416,0.09019165727170236,0.5375,0.6231884057971014,0.0,0.0,0.4117647058823529,0 / 7,0 / 31,35 / 85
