City,Mean underproduction (by APN),Units built to units claimed ratio on matched sites (by APN),RHNA Success (by APN),Units permitted / claimed capacity (by APN),P(inventory) for homes built (by APN),P(inventory) for projects built (by APN),P(dev) for nonvacant sites (by APN),P(dev) for vacant sites (by APN),P(dev) for inventory (by APN),# nonvacant matches (by APN),# vacant matches (by APN),# matches (by APN),Mean underproduction (by conservative geomatching),Units built to units claimed ratio on matched sites (by conservative geomatching),RHNA Success (by conservative geomatching),Units permitted / claimed capacity (by conservative geomatching),P(inventory) for homes built (by conservative geomatching),P(inventory) for projects built (by conservative geomatching),P(dev) for nonvacant sites (by conservative geomatching),P(dev) for vacant sites (by conservative geomatching),P(dev) for inventory (by conservative geomatching),# nonvacant matches (by conservative geomatching),# vacant matches (by conservative geomatching),# matches (by conservative geomatching),Mean underproduction,Units built to units claimed ratio on matched sites,RHNA Success,Units permitted / claimed capacity,P(inventory) for homes built,P(inventory) for projects built,P(dev) for nonvacant sites,P(dev) for vacant sites,P(dev) for inventory,# nonvacant matches,# vacant matches,# matches,Mean underproduction (by APN or conservative geomatching),Units built to units claimed ratio on matched sites (by APN or conservative geomatching),RHNA Success (by APN or conservative geomatching),Units permitted / claimed capacity (by APN or conservative geomatching),P(inventory) for homes built (by APN or conservative geomatching),P(inventory) for projects built (by APN or conservative geomatching),P(dev) for nonvacant sites (by APN or conservative geomatching),P(dev) for vacant sites (by APN or conservative geomatching),P(dev) for inventory (by APN or conservative geomatching),# nonvacant matches (by APN or conservative geomatching),# vacant matches (by APN or conservative geomatching),# matches (by APN or conservative geomatching),Mean underproduction (by APN or lenient geomatching),Units built to units claimed ratio on matched sites (by APN or lenient geomatching),RHNA Success (by APN or lenient geomatching),Units permitted / claimed capacity (by APN or lenient geomatching),P(inventory) for homes built (by APN or lenient geomatching),P(inventory) for projects built (by APN or lenient geomatching),P(dev) for nonvacant sites (by APN or lenient geomatching),P(dev) for vacant sites (by APN or lenient geomatching),P(dev) for inventory (by APN or lenient geomatching),# nonvacant matches (by APN or lenient geomatching),# vacant matches (by APN or lenient geomatching),# matches (by APN or lenient geomatching)
Cupertino,1.7272727272727273,1.7272727272727273,0.24718045112781956,0.16540880503144653,0.07224334600760456,0.009433962264150943,,,0.03571428571428571,0 / 0,0 / 0,1 / 28,1.7272727272727273,1.7272727272727273,0.24718045112781956,0.16540880503144653,0.07224334600760456,0.009433962264150943,,,0.03571428571428571,0 / 0,0 / 0,1 / 28,1.7272727272727273,1.7272727272727273,0.24718045112781956,0.16540880503144653,0.07224334600760456,0.009433962264150943,,,0.03571428571428571,0 / 0,0 / 0,1 / 28,1.7272727272727273,1.7272727272727273,0.24718045112781956,0.16540880503144653,0.07224334600760456,0.009433962264150943,,,0.03571428571428571,0 / 0,0 / 0,1 / 28,1.7272727272727273,1.7272727272727273,0.24718045112781956,0.16540880503144653,0.07224334600760456,0.009433962264150943,,,0.03571428571428571,0 / 0,0 / 0,1 / 28
Daly City,4.12,4.12,0.5259259259259259,1.3421550094517958,0.3732394366197183,0.12345679012345678,0.0,0.16666666666666666,0.1590909090909091,0 / 7,1 / 6,7 / 44,4.12,4.12,0.5259259259259259,1.3421550094517958,0.3732394366197183,0.12345679012345678,0.0,0.16666666666666666,0.1590909090909091,0 / 7,1 / 6,7 / 44,4.12,4.12,0.5259259259259259,1.3421550094517958,0.37746478873239436,0.12962962962962962,0.0,0.16666666666666666,0.1590909090909091,0 / 7,1 / 6,7 / 44,4.12,4.12,0.5259259259259259,1.3421550094517958,0.376056338028169,0.12757201646090535,0.0,0.16666666666666666,0.1590909090909091,0 / 7,1 / 6,7 / 44,4.12,4.12,0.5259259259259259,1.3421550094517958,0.3788732394366197,0.13168724279835392,0.0,0.16666666666666666,0.1590909090909091,0 / 7,1 / 6,7 / 44
Danville,1.5440019665683382,2.3435114503816794,0.9784560143626571,0.6646341463414634,0.5688073394495413,0.10121457489878542,0.12,0.0,0.05952380952380952,3 / 25,0 / 12,5 / 84,1.0783817951959545,2.0365853658536586,0.9784560143626571,0.6646341463414634,0.691743119266055,0.3360323886639676,0.2,0.0,0.13095238095238096,5 / 25,0 / 12,11 / 84,1.0942548110689703,2.042682926829268,0.9784560143626571,0.6646341463414634,0.6935779816513762,0.340080971659919,0.2,0.0,0.13095238095238096,5 / 25,0 / 12,11 / 84,1.0783817951959545,2.0365853658536586,0.9784560143626571,0.6646341463414634,0.691743119266055,0.3360323886639676,0.2,0.0,0.13095238095238096,5 / 25,0 / 12,11 / 84,1.0942548110689703,2.042682926829268,0.9784560143626571,0.6646341463414634,0.6935779816513762,0.340080971659919,0.2,0.0,0.13095238095238096,5 / 25,0 / 12,11 / 84
Dixon,,,0.9390862944162437,0.18743667679837892,0.0,0.0,0.0,0.0,0.0,0 / 2,0 / 11,0 / 19,0.3421654464050057,0.24796747967479674,0.9390862944162437,0.18743667679837892,0.3945945945945946,0.3924731182795699,0.0,0.36363636363636365,0.2631578947368421,0 / 2,4 / 11,5 / 19,0.3421654464050057,0.24796747967479674,0.9390862944162437,0.18743667679837892,0.3945945945945946,0.3924731182795699,0.0,0.36363636363636365,0.2631578947368421,0 / 2,4 / 11,5 / 19,0.3421654464050057,0.24796747967479674,0.9390862944162437,0.18743667679837892,0.3945945945945946,0.3924731182795699,0.0,0.36363636363636365,0.2631578947368421,0 / 2,4 / 11,5 / 19,0.3421654464050057,0.24796747967479674,0.9390862944162437,0.18743667679837892,0.3945945945945946,0.3924731182795699,0.0,0.36363636363636365,0.2631578947368421,0 / 2,4 / 11,5 / 19
Dublin,1.2853535353535352,0.37168141592920356,1.6389496717724288,1.1393367812595072,0.011214953271028037,0.0008565310492505353,0.018518518518518517,0.041666666666666664,0.02564102564102564,1 / 54,1 / 24,2 / 78,1.4166666666666667,0.7432432432432432,1.6389496717724288,1.1393367812595072,0.014686248331108143,0.0017130620985010706,0.037037037037037035,0.0,0.02564102564102564,2 / 54,0 / 24,2 / 78,1.4166666666666667,0.7432432432432432,1.6389496717724288,1.1393367812595072,0.014686248331108143,0.0017130620985010706,0.037037037037037035,0.0,0.02564102564102564,2 / 54,0 / 24,2 / 78,0.968013468013468,0.3179190751445087,1.6389496717724288,1.1393367812595072,0.014686248331108143,0.0017130620985010706,0.037037037037037035,0.041666666666666664,0.038461538461538464,2 / 54,1 / 24,3 / 78,0.968013468013468,0.3179190751445087,1.6389496717724288,1.1393367812595072,0.014686248331108143,0.0017130620985010706,0.037037037037037035,0.041666666666666664,0.038461538461538464,2 / 54,1 / 24,3 / 78
East Palo Alto,,,0.19700214132762311,0.30882846592816376,0.0,0.0,0.0,0.0,0.0,0 / 27,0 / 8,0 / 39,,,0.19700214132762311,0.30882846592816376,0.0,0.0,0.0,0.0,0.0,0 / 27,0 / 8,0 / 39,,,0.19700214132762311,0.30882846592816376,0.0,0.0,0.0,0.0,0.0,0 / 27,0 / 8,0 / 39,,,0.19700214132762311,0.30882846592816376,0.0,0.0,0.0,0.0,0.0,0 / 27,0 / 8,0 / 39,,,0.19700214132762311,0.30882846592816376,0.0,0.0,0.0,0.0,0.0,0 / 27,0 / 8,0 / 39
El Cerrito,,,0.9271356783919598,0.41045606229143494,0.01084010840108401,0.0547945205479452,0.0,0.03896103896103896,0.03361344537815126,0 / 6,3 / 77,4 / 119,,,0.9271356783919598,0.41045606229143494,0.01084010840108401,0.0547945205479452,0.0,0.03896103896103896,0.03361344537815126,0 / 6,3 / 77,4 / 119,,,0.9271356783919598,0.41045606229143494,0.01084010840108401,0.0547945205479452,0.0,0.03896103896103896,0.03361344537815126,0 / 6,3 / 77,4 / 119,,,0.9271356783919598,0.41045606229143494,0.01084010840108401,0.0547945205479452,0.0,0.03896103896103896,0.03361344537815126,0 / 6,3 / 77,4 / 119,,,0.9271356783919598,0.41045606229143494,0.01084010840108401,0.0547945205479452,0.0,0.03896103896103896,0.03361344537815126,0 / 6,3 / 77,4 / 119
Emeryville,,,0.33311081441922563,0.16556071665560718,0.0,0.0,0.0,0.0,0.0,0 / 5,0 / 3,0 / 39,,,0.33311081441922563,0.16556071665560718,0.0,0.0,0.0,0.0,0.0,0 / 5,0 / 3,0 / 39,,,0.33311081441922563,0.16556071665560718,0.0,0.0,0.0,0.0,0.0,0 / 5,0 / 3,0 / 39,,,0.33311081441922563,0.16556071665560718,0.0,0.0,0.0,0.0,0.0,0 / 5,0 / 3,0 / 39,,,0.33311081441922563,0.16556071665560718,0.0,0.0,0.0,0.0,0.0,0 / 5,0 / 3,0 / 39
Fairfax,,,1.3442622950819672,0.5694444444444444,0.0,0.0,0.0,0.0,0.0,0 / 38,0 / 14,0 / 52,1.35,1.35,1.3442622950819672,0.5694444444444444,0.6585365853658537,0.034482758620689655,0.02631578947368421,0.0,0.019230769230769232,1 / 38,0 / 14,1 / 52,1.35,1.35,1.3442622950819672,0.5694444444444444,0.6585365853658537,0.034482758620689655,0.02631578947368421,0.0,0.019230769230769232,1 / 38,0 / 14,1 / 52,1.35,1.35,1.3442622950819672,0.5694444444444444,0.6585365853658537,0.034482758620689655,0.02631578947368421,0.0,0.019230769230769232,1 / 38,0 / 14,1 / 52,1.35,1.35,1.3442622950819672,0.5694444444444444,0.6585365853658537,0.034482758620689655,0.02631578947368421,0.0,0.019230769230769232,1 / 38,0 / 14,1 / 52
Fairfield,,,0.5583870967741935,0.2697522206638616,0.0,0.0,0.0,0.0,0.0,0 / 2,0 / 77,0 / 86,0.25333333333333335,0.25333333333333335,0.5583870967741935,0.2697522206638616,0.0439052570768342,0.05244996549344375,0.0,0.012987012987012988,0.011627906976744186,0 / 2,1 / 77,1 / 86,0.25333333333333335,0.25333333333333335,0.5583870967741935,0.2697522206638616,0.0439052570768342,0.05244996549344375,0.0,0.012987012987012988,0.011627906976744186,0 / 2,1 / 77,1 / 86,0.25333333333333335,0.25333333333333335,0.5583870967741935,0.2697522206638616,0.0439052570768342,0.05244996549344375,0.0,0.012987012987012988,0.011627906976744186,0 / 2,1 / 77,1 / 86,0.25333333333333335,0.25333333333333335,0.5583870967741935,0.2697522206638616,0.0439052570768342,0.05244996549344375,0.0,0.012987012987012988,0.011627906976744186,0 / 2,1 / 77,1 / 86
Fremont,0.44231673004531363,0.7154984838941298,1.0801099908340972,0.857354009214051,0.11456211812627291,0.012781954887218045,0.028368794326241134,0.047619047619047616,0.030864197530864196,4 / 141,1 / 21,5 / 162,1.00613199335567,1.0268047177308341,1.0801099908340972,0.857354009214051,0.17684996605566872,0.06917293233082707,0.04964539007092199,0.047619047619047616,0.04938271604938271,7 / 141,1 / 21,8 / 162,1.1295937179311235,1.0574624403730524,1.0801099908340972,0.857354009214051,0.19365241004752207,0.07443609022556391,0.04964539007092199,0.047619047619047616,0.06172839506172839,7 / 141,1 / 21,10 / 162,0.9384753536754165,0.9241959017301384,1.0801099908340972,0.857354009214051,0.17701968771215207,0.06992481203007518,0.04964539007092199,0.09523809523809523,0.05555555555555555,7 / 141,2 / 21,9 / 162,1.054875407909413,0.9566143659492489,1.0801099908340972,0.857354009214051,0.19365241004752207,0.07443609022556391,0.04964539007092199,0.09523809523809523,0.06790123456790123,7 / 141,2 / 21,11 / 162
Gilroy,,,1.2922794117647058,2.2037617554858935,0.0,0.0,0.0,0.0,0.0,0 / 3,0 / 5,0 / 39,,,1.2922794117647058,2.2037617554858935,0.11450924608819346,0.16083916083916083,0.0,0.0,0.1794871794871795,0 / 3,0 / 5,7 / 39,,,1.2922794117647058,2.2037617554858935,0.11522048364153627,0.16183816183816183,0.0,0.0,0.1794871794871795,0 / 3,0 / 5,7 / 39,,,1.2922794117647058,2.2037617554858935,0.11450924608819346,0.16083916083916083,0.0,0.0,0.1794871794871795,0 / 3,0 / 5,7 / 39,,,1.2922794117647058,2.2037617554858935,0.11522048364153627,0.16183816183816183,0.0,0.0,0.1794871794871795,0 / 3,0 / 5,7 / 39
Half Moon Bay,0.8851282051282052,0.08536585365853659,0.2375,0.058762886597938144,0.24561403508771928,0.296875,0.08333333333333333,0.03669724770642202,0.020030816640986132,1 / 12,12 / 327,13 / 649,1.0277777777777777,0.8571428571428571,0.2375,0.058762886597938144,0.22807017543859648,0.1875,0.0,0.027522935779816515,0.015408320493066256,0 / 12,9 / 327,10 / 649,1.0208333333333333,0.8823529411764706,0.2375,0.058762886597938144,0.3508771929824561,0.3125,0.0,0.027522935779816515,0.023112480739599383,0 / 12,9 / 327,15 / 649,0.9407936507936508,0.13559322033898305,0.2375,0.058762886597938144,0.43859649122807015,0.4375,0.08333333333333333,0.06116207951070336,0.03389830508474576,1 / 12,20 / 327,22 / 649,0.9459420289855073,0.13966480446927373,0.2375,0.058762886597938144,0.5263157894736842,0.515625,0.08333333333333333,0.06116207951070336,0.040061633281972264,1 / 12,20 / 327,26 / 649
Hayward,0.29370300751879697,0.32978723404255317,0.511734693877551,0.6700066800267201,0.023429710867397806,0.03601532567049808,0.03508771929824561,0.02631578947368421,0.02185792349726776,2 / 57,1 / 38,4 / 183,0.41429921522558544,0.43664717348927873,0.511734693877551,0.6700066800267201,0.23728813559322035,0.3195402298850575,0.17543859649122806,0.05263157894736842,0.09836065573770492,10 / 57,2 / 38,18 / 183,0.4811054949150768,0.4873294346978557,0.511734693877551,0.6700066800267201,0.2527417746759721,0.3432950191570881,0.17543859649122806,0.05263157894736842,0.10382513661202186,10 / 57,2 / 38,19 / 183,0.4196563580827283,0.442495126705653,0.511734693877551,0.6700066800267201,0.24027916251246262,0.32413793103448274,0.17543859649122806,0.05263157894736842,0.09836065573770492,10 / 57,2 / 38,18 / 183,0.4811054949150768,0.4873294346978557,0.511734693877551,0.6700066800267201,0.2527417746759721,0.3432950191570881,0.17543859649122806,0.05263157894736842,0.10382513661202186,10 / 57,2 / 38,19 / 183
Healdsburg,0.27509803921568626,0.1891891891891892,1.535031847133758,0.49284253578732107,0.029045643153526972,0.040229885057471264,0.09523809523809523,0.08333333333333333,0.08333333333333333,2 / 21,3 / 36,5 / 60,0.12941176470588237,0.09090909090909091,1.535031847133758,0.49284253578732107,0.008298755186721992,0.011494252873563218,0.047619047619047616,0.027777777777777776,0.03333333333333333,1 / 21,1 / 36,2 / 60,0.12941176470588237,0.09090909090909091,1.535031847133758,0.49284253578732107,0.008298755186721992,0.011494252873563218,0.047619047619047616,0.027777777777777776,0.03333333333333333,1 / 21,1 / 36,2 / 60,0.27509803921568626,0.1891891891891892,1.535031847133758,0.49284253578732107,0.029045643153526972,0.040229885057471264,0.09523809523809523,0.08333333333333333,0.08333333333333333,2 / 21,3 / 36,5 / 60,0.27509803921568626,0.1891891891891892,1.535031847133758,0.49284253578732107,0.029045643153526972,0.040229885057471264,0.09523809523809523,0.08333333333333333,0.08333333333333333,2 / 21,3 / 36,5 / 60
Hercules,,,1.0835777126099706,0.2716911764705882,0.0,0.0,,0.0,0.0,0 / 0,0 / 14,0 / 14,,,1.0835777126099706,0.2716911764705882,0.0,0.0,,0.0,0.0,0 / 0,0 / 14,0 / 14,,,1.0835777126099706,0.2716911764705882,0.0,0.0,,0.0,0.0,0 / 0,0 / 14,0 / 14,,,1.0835777126099706,0.2716911764705882,0.0,0.0,,0.0,0.0,0 / 0,0 / 14,0 / 14,,,1.0835777126099706,0.2716911764705882,0.0,0.0,,0.0,0.0,0 / 0,0 / 14,0 / 14
Lafayette,0.875,0.972972972972973,0.7825,0.4960380348652932,0.23003194888178913,0.07216494845360824,0.0625,0.3333333333333333,0.027777777777777776,1 / 16,1 / 3,2 / 72,0.5625,0.9054054054054054,0.7825,0.4960380348652932,0.21405750798722045,0.020618556701030927,0.0625,0.3333333333333333,0.027777777777777776,1 / 16,1 / 3,2 / 72,0.5625,0.9054054054054054,0.7825,0.4960380348652932,0.21405750798722045,0.020618556701030927,0.0625,0.3333333333333333,0.027777777777777776,1 / 16,1 / 3,2 / 72,0.875,0.972972972972973,0.7825,0.4960380348652932,0.23003194888178913,0.07216494845360824,0.0625,0.3333333333333333,0.027777777777777776,1 / 16,1 / 3,2 / 72,0.875,0.972972972972973,0.7825,0.4960380348652932,0.23003194888178913,0.07216494845360824,0.0625,0.3333333333333333,0.027777777777777776,1 / 16,1 / 3,2 / 72
Larkspur,,,0.15151515151515152,0.2564102564102564,0.05,0.058823529411764705,0.0,,0.05263157894736842,0 / 3,0 / 0,1 / 19,,,0.15151515151515152,0.2564102564102564,0.05,0.058823529411764705,0.0,,0.05263157894736842,0 / 3,0 / 0,1 / 19,,,0.15151515151515152,0.2564102564102564,0.05,0.058823529411764705,0.0,,0.05263157894736842,0 / 3,0 / 0,1 / 19,,,0.15151515151515152,0.2564102564102564,0.05,0.058823529411764705,0.0,,0.05263157894736842,0 / 3,0 / 0,1 / 19,,,0.15151515151515152,0.2564102564102564,0.05,0.058823529411764705,0.0,,0.05263157894736842,0 / 3,0 / 0,1 / 19
Livermore,1.2766251722134077,1.1864864864864866,0.6947599853426163,0.5489287782281412,0.2468354430379747,0.11725955204216074,0.07446808510638298,0.1553398058252427,0.11386138613861387,7 / 94,16 / 103,23 / 202,0.8931665838960539,0.9215686274509803,0.6947599853426163,0.5489287782281412,0.5284810126582279,0.5349143610013175,0.05319148936170213,0.17475728155339806,0.11386138613861387,5 / 94,18 / 103,23 / 202,0.9499063042050656,1.037156704361874,0.6947599853426163,0.5489287782281412,0.569620253164557,0.544137022397892,0.05319148936170213,0.17475728155339806,0.13861386138613863,5 / 94,18 / 103,28 / 202,1.2264783378994715,0.8531289910600255,0.6947599853426163,0.5489287782281412,0.5833333333333334,0.5770750988142292,0.09574468085106383,0.23300970873786409,0.16336633663366337,9 / 94,24 / 103,33 / 202,1.2894985519303872,0.8531289910600255,0.6947599853426163,0.5489287782281412,0.5833333333333334,0.5770750988142292,0.09574468085106383,0.23300970873786409,0.16336633663366337,9 / 94,24 / 103,33 / 202
Los Altos,0.9285714285714286,0.7647058823529411,0.6561844863731656,1.2155339805825243,0.04153354632587859,0.03686635944700461,0.029411764705882353,0.2608695652173913,0.12280701754385964,1 / 34,6 / 23,7 / 57,0.9,0.7333333333333333,0.6561844863731656,1.2155339805825243,0.03514376996805112,0.027649769585253458,0.029411764705882353,0.17391304347826086,0.08771929824561403,1 / 34,4 / 23,5 / 57,0.9,0.7333333333333333,0.6561844863731656,1.2155339805825243,0.03514376996805112,0.027649769585253458,0.029411764705882353,0.17391304347826086,0.08771929824561403,1 / 34,4 / 23,5 / 57,0.9285714285714286,0.7647058823529411,0.6561844863731656,1.2155339805825243,0.04153354632587859,0.03686635944700461,0.029411764705882353,0.2608695652173913,0.12280701754385964,1 / 34,6 / 23,7 / 57,0.9285714285714286,0.7647058823529411,0.6561844863731656,1.2155339805825243,0.04153354632587859,0.03686635944700461,0.029411764705882353,0.2608695652173913,0.12280701754385964,1 / 34,6 / 23,7 / 57
Los Altos Hills,0.755952380952381,0.5833333333333334,0.9421487603305785,0.3202247191011236,0.14912280701754385,0.14782608695652175,0.03361344537815126,0.2,0.06474820143884892,4 / 119,3 / 15,9 / 139,0.6805555555555556,0.5,0.9421487603305785,0.3202247191011236,0.20175438596491227,0.2,0.04201680672268908,0.26666666666666666,0.07913669064748201,5 / 119,4 / 15,11 / 139,0.6805555555555556,0.5,0.9421487603305785,0.3202247191011236,0.20175438596491227,0.2,0.04201680672268908,0.26666666666666666,0.07913669064748201,5 / 119,4 / 15,11 / 139,0.6805555555555556,0.5,0.9421487603305785,0.3202247191011236,0.20175438596491227,0.2,0.04201680672268908,0.26666666666666666,0.07913669064748201,5 / 119,4 / 15,11 / 139,0.6805555555555556,0.5,0.9421487603305785,0.3202247191011236,0.20175438596491227,0.2,0.04201680672268908,0.26666666666666666,0.07913669064748201,5 / 119,4 / 15,11 / 139
Los Gatos,,,0.19224555735056542,0.14968553459119496,0.0,0.0,0.0,0.0,0.0,0 / 6,0 / 3,0 / 36,,,0.19224555735056542,0.14968553459119496,0.0,0.0,0.0,0.0,0.0,0 / 6,0 / 3,0 / 36,,,0.19224555735056542,0.14968553459119496,0.0,0.0,0.0,0.0,0.0,0 / 6,0 / 3,0 / 36,,,0.19224555735056542,0.14968553459119496,0.0,0.0,0.0,0.0,0.0,0 / 6,0 / 3,0 / 36,,,0.19224555735056542,0.14968553459119496,0.0,0.0,0.0,0.0,0.0,0 / 6,0 / 3,0 / 36
Martinez,1.0,1.0,0.14925373134328357,0.05098324836125273,0.07142857142857142,0.09259259259259259,0.0,0.02074688796680498,0.018726591760299626,0 / 26,5 / 241,5 / 267,0.8073291925465839,0.3564356435643564,0.14925373134328357,0.05098324836125273,0.5142857142857142,0.37037037037037035,0.0,0.029045643153526972,0.026217228464419477,0 / 26,7 / 241,7 / 267,0.8073291925465839,0.3564356435643564,0.14925373134328357,0.05098324836125273,0.5142857142857142,0.37037037037037035,0.0,0.029045643153526972,0.026217228464419477,0 / 26,7 / 241,7 / 267,0.8314130434782608,0.3627450980392157,0.14925373134328357,0.05098324836125273,0.5285714285714286,0.3888888888888889,0.0,0.03319502074688797,0.0299625468164794,0 / 26,8 / 241,8 / 267,0.8314130434782608,0.3627450980392157,0.14925373134328357,0.05098324836125273,0.5285714285714286,0.3888888888888889,0.0,0.03319502074688797,0.0299625468164794,0 / 26,8 / 241,8 / 267
Menlo Park,0.5546536796536797,0.6341463414634146,1.6625954198473283,0.584092440588465,0.023875114784205693,0.0759493670886076,0.028846153846153848,0.0,0.024489795918367346,6 / 208,0 / 37,6 / 245,3.7806203397479377,2.460369074320787,1.6625954198473283,0.584092440588465,0.3939393939393939,0.16455696202531644,0.052884615384615384,0.05405405405405406,0.053061224489795916,11 / 208,2 / 37,13 / 245,3.5462903154802277,2.4381381412462697,1.6625954198473283,0.584092440588465,0.3948576675849403,0.17721518987341772,0.052884615384615384,0.05405405405405406,0.05714285714285714,11 / 208,2 / 37,14 / 245,3.319827671071589,2.2301460388569043,1.6625954198473283,0.584092440588465,0.3939393939393939,0.16455696202531644,0.0625,0.05405405405405406,0.061224489795918366,13 / 208,2 / 37,15 / 245,3.143588441629615,2.21234289330599,1.6625954198473283,0.584092440588465,0.3948576675849403,0.17721518987341772,0.0625,0.05405405405405406,0.0653061224489796,13 / 208,2 / 37,16 / 245
Mill Valley,1.0,1.0,0.6434108527131783,0.43005181347150256,0.012048192771084338,0.012048192771084338,0.0,0.03333333333333333,0.017857142857142856,0 / 25,1 / 30,1 / 56,1.0,1.0,0.6434108527131783,0.43005181347150256,0.012048192771084338,0.012048192771084338,0.0,0.03333333333333333,0.017857142857142856,0 / 25,1 / 30,1 / 56,1.0,1.0,0.6434108527131783,0.43005181347150256,0.012048192771084338,0.012048192771084338,0.0,0.03333333333333333,0.017857142857142856,0 / 25,1 / 30,1 / 56,1.0,1.0,0.6434108527131783,0.43005181347150256,0.012048192771084338,0.012048192771084338,0.0,0.03333333333333333,0.017857142857142856,0 / 25,1 / 30,1 / 56,1.0,1.0,0.6434108527131783,0.43005181347150256,0.012048192771084338,0.012048192771084338,0.0,0.03333333333333333,0.017857142857142856,0 / 25,1 / 30,1 / 56
Millbrae,,,0.027149321266968326,0.011974852809100888,0.0,0.0,0.0,0.0,0.0,0 / 125,0 / 4,0 / 132,,,0.027149321266968326,0.011974852809100888,0.0,0.0,0.0,0.0,0.0,0 / 125,0 / 4,0 / 132,,,0.027149321266968326,0.011974852809100888,0.0,0.0,0.0,0.0,0.0,0 / 125,0 / 4,0 / 132,,,0.027149321266968326,0.011974852809100888,0.0,0.0,0.0,0.0,0.0,0 / 125,0 / 4,0 / 132,,,0.027149321266968326,0.011974852809100888,0.0,0.0,0.0,0.0,0.0,0 / 125,0 / 4,0 / 132
Milpitas,0.5519088923775862,0.6034682080924856,0.613677811550152,0.2517456359102244,0.6607231302625062,0.37037037037037035,0.1111111111111111,0.0,0.04093567251461988,2 / 18,0 / 7,7 / 171,0.381505061823276,0.276006272869838,0.613677811550152,0.2517456359102244,0.846458642892521,0.4444444444444444,0.2222222222222222,0.0,0.08771929824561403,4 / 18,0 / 7,15 / 171,0.40782085129696016,0.279665446941976,0.613677811550152,0.2517456359102244,0.849925705794948,0.4537037037037037,0.2222222222222222,0.0,0.08771929824561403,4 / 18,0 / 7,15 / 171,0.458535874148206,0.32462101411395716,0.613677811550152,0.2517456359102244,0.8945022288261516,0.5740740740740741,0.2222222222222222,0.0,0.09941520467836257,4 / 18,0 / 7,17 / 171,0.4848516636218902,0.32462101411395716,0.613677811550152,0.2517456359102244,0.8945022288261516,0.5740740740740741,0.2222222222222222,0.0,0.09941520467836257,4 / 18,0 / 7,17 / 171
Monte Sereno,,,0.6885245901639344,1.2727272727272727,0.0,0.0,0.0,,0.0,0 / 5,0 / 0,0 / 6,,,0.6885245901639344,1.2727272727272727,0.0,0.0,0.0,,0.0,0 / 5,0 / 0,0 / 6,,,0.6885245901639344,1.2727272727272727,0.0,0.0,0.0,,0.0,0 / 5,0 / 0,0 / 6,,,0.6885245901639344,1.2727272727272727,0.0,0.0,0.0,,0.0,0 / 5,0 / 0,0 / 6,,,0.6885245901639344,1.2727272727272727,0.0,0.0,0.0,,0.0,0 / 5,0 / 0,0 / 6
Moraga,,,0.3406113537117904,0.094316807738815,0.0,0.0,0.0,0.0,0.0,0 / 1,0 / 34,0 / 41,0.8,0.8,0.3406113537117904,0.094316807738815,0.05128205128205128,0.018867924528301886,0.0,0.029411764705882353,0.024390243902439025,0 / 1,1 / 34,1 / 41,0.8,0.8,0.3406113537117904,0.094316807738815,0.05128205128205128,0.018867924528301886,0.0,0.029411764705882353,0.024390243902439025,0 / 1,1 / 34,1 / 41,0.8,0.8,0.3406113537117904,0.094316807738815,0.05128205128205128,0.018867924528301886,0.0,0.029411764705882353,0.024390243902439025,0 / 1,1 / 34,1 / 41,0.8,0.8,0.3406113537117904,0.094316807738815,0.05128205128205128,0.018867924528301886,0.0,0.029411764705882353,0.024390243902439025,0 / 1,1 / 34,1 / 41
Morgan Hill,0.0655570652173913,0.07272727272727272,1.9170258620689655,1.3790697674418604,0.004496908375491849,0.0057553956834532375,,0.025,0.025,0 / 0,2 / 80,2 / 80,1.9864341694795888,0.8671023965141612,1.9170258620689655,1.3790697674418604,0.2237211916807195,0.2273381294964029,,0.175,0.175,0 / 0,14 / 80,14 / 80,1.671654137103306,0.7025641025641025,1.9170258620689655,1.3790697674418604,0.23102866779089376,0.23669064748201438,,0.175,0.2125,0 / 0,14 / 80,17 / 80,1.9864341694795888,0.8671023965141612,1.9170258620689655,1.3790697674418604,0.2237211916807195,0.2273381294964029,,0.175,0.175,0 / 0,14 / 80,14 / 80,1.671654137103306,0.7025641025641025,1.9170258620689655,1.3790697674418604,0.23102866779089376,0.23669064748201438,,0.175,0.2125,0 / 0,14 / 80,17 / 80
Mountain View,8.753160289542274,0.7695906432748538,0.9853041695146958,0.8964552238805971,0.2282344779743323,0.10424710424710425,0.12,0.14285714285714285,0.053763440860215055,3 / 25,1 / 7,5 / 93,5.609113237345148,0.5173501577287066,0.9853041695146958,0.8964552238805971,0.22129725979882067,0.3861003861003861,0.2,0.2857142857142857,0.10752688172043011,5 / 25,2 / 7,10 / 93,8.216462258543585,1.19960668633235,0.9853041695146958,0.8964552238805971,0.4738120013874436,0.3918918918918919,0.2,0.2857142857142857,0.12903225806451613,5 / 25,2 / 7,12 / 93,5.716115452457134,0.729758149316509,0.9853041695146958,0.8964552238805971,0.29136316337148804,0.40733590733590735,0.2,0.2857142857142857,0.10752688172043011,5 / 25,2 / 7,10 / 93,8.296181677692,1.3972468043264503,0.9853041695146958,0.8964552238805971,0.5435310440513355,0.4111969111969112,0.2,0.2857142857142857,0.12903225806451613,5 / 25,2 / 7,12 / 93
