,Permit.Number,Permit.Type,Permit.Subtype,Status,Description,Site.Address,APN,Applied,Issued,Finaled,Address,RHNA.Date,Applied.Year,lon,lat,Total,Demolition,net
207,2016-666683,MULTI FAMILY,NULL,FINALED,Condominium,86 THIRD ST 207,16764016,2016-06-09,2016-06-09,2016-06-09,86 THIRD ST 207,2016,2016,-122.1173381,37.3805182,0,,0
208,2016-666684,MULTI FAMILY,NULL,FINALED,Condominium,86 THIRD ST 208,16764017,2016-06-09,2016-06-09,2016-06-09,86 THIRD ST 208,2016,2016,-122.1173381,37.3805182,0,,0
209,2016-666685,MULTI FAMILY,NULL,FINALED,Condominium,86 THIRD ST 301,16764018,2016-06-09,2016-06-09,2016-06-09,86 THIRD ST 301,2016,2016,-122.1173381,37.3805182,0,,0
210,2016-666686,MULTI FAMILY,NULL,FINALED,Condominium,86 THIRD ST 302,16764019,2016-06-09,2016-06-09,2016-06-09,86 THIRD ST 302,2016,2016,-122.1173381,37.3805182,0,,0
211,2016-666687,MULTI FAMILY,NULL,FINALED,Condominium,86 THIRD ST 303,16764020,2016-06-09,2016-06-09,2016-06-09,86 THIRD ST 303,2016,2016,-122.1173381,37.3805182,0,,0
212,2016-666688,MULTI FAMILY,NULL,FINALED,Condominium,86 THIRD ST 304,16764021,2016-06-09,2016-06-09,2016-06-09,86 THIRD ST 304,2016,2016,-122.1173381,37.3805182,0,,0
213,2016-666689,MULTI FAMILY,NULL,FINALED,Condominium,86 THIRD ST 305,16764022,2016-06-09,2016-06-09,2016-06-09,86 THIRD ST 305,2016,2016,-122.1173381,37.3805182,0,,0
214,2016-666690,MULTI FAMILY,NULL,FINALED,Condominium,86 THIRD ST 306,16764023,2016-06-09,2016-06-09,2016-06-09,86 THIRD ST 306,2016,2016,-122.1173381,37.3805182,0,,0
215,2016-666691,MULTI FAMILY,NULL,FINALED,Condominium,86 THIRD ST 307,16764024,2016-06-09,2016-06-09,2016-06-09,86 THIRD ST 307,2016,2016,-122.1173381,37.3805182,0,,0
216,2016-666692,MULTI FAMILY,NULL,FINALED,Condominium,86 THIRD ST 308,16764025,2016-06-09,2016-06-09,2016-06-09,86 THIRD ST 308,2016,2016,-122.1173381,37.3805182,0,,0
217,2016-666694,MULTI FAMILY,NULL,FINALED,Condominium,86 THIRD ST 101,16764001,2016-06-09,2016-06-09,2016-06-09,86 THIRD ST 101,2016,2016,-122.1173381,37.3805182,3,,3
218,2016-666695,MULTI FAMILY,NULL,FINALED,Condominium,86 THIRD ST 102,16764002,2016-06-09,2016-06-09,2016-06-09,86 THIRD ST 102,2016,2016,-122.1173381,37.3805182,21,,21
219,2016-666696,MULTI FAMILY,NULL,FINALED,Condominium,86 THIRD ST 103,16764003,2016-06-09,2016-06-09,2016-06-09,86 THIRD ST 103,2016,2016,-122.1173381,37.3805182,3,,3
220,2016-666697,MULTI FAMILY,NULL,FINALED,Condominium,86 THIRD ST 104,16764004,2016-06-09,2016-06-09,2016-06-09,86 THIRD ST 104,2016,2016,-122.1173381,37.3805182,0,,0
221,2016-666890,MIXED USE,NULL,ISSUED,New Mixed Use,1540 MIRAMONTE AV,18915085,2016-07-13,2017-10-11,NA,1540 MIRAMONTE,2017,2016,-122.0871903,37.3538742,0,,0
222,2016-667756,MULTI FAMILY,NULL,FINALED,New five-story multi- family,4880 EL CAMINO REAL,17002022,2016-12-21,2018-01-09,2020-07-27,4880 EL CAMINO,2018,2016,-122.1090849,37.3984676,0,,0
223,2017-669477,MULTI FAMILY,NULL,FINALED,3 Condo Unit,517 TYNDALL ST,17038047,2017-11-21,2018-06-06,2019-09-16,517 TYNDALL,2018,2017,-122.1127013,37.3736519,0,,0
224,BLD19-00058,MIXED USE,,SUBMITTED,Mixed Use Building,962 ACACIA AVE,17001048,2019-02-13,NA,NA,962 ACACIA,NA,2019,-122.1136051,37.3998795,0,,0
225,BLD19-00452,MULTI FAMILY,CONDOMINIUM,FINALED,Condo Unit #501,4880 EL CAMINO REAL #54,NA,2019-05-02,2019-05-02,2020-06-25,4880 EL CAMINO #54,2019,2019,NA,NA,0,,0
226,BLD19-00453,MULTI FAMILY,CONDOMINIUM,FINALED,Condo Unit #502,4880 EL CAMINO REAL #53,NA,2019-05-02,2019-05-02,2020-06-25,4880 EL CAMINO #53,2019,2019,NA,NA,0,,0
227,BLD19-00454,MULTI FAMILY,CONDOMINIUM,FINALED,Condo Unit #503,4880 EL CAMINO REAL #52,NA,2019-05-02,2019-05-02,2020-06-25,4880 EL CAMINO #52,2019,2019,NA,NA,0,,0
228,BLD19-00455,MULTI FAMILY,CONDOMINIUM,FINALED,Condo Unit #504,4880 EL CAMINO REAL #51,NA,2019-05-02,2019-05-02,2020-06-25,4880 EL CAMINO #51,2019,2019,NA,NA,0,,0
229,BLD19-00536,MULTI FAMILY,CONDOMINIUM,FINALED,Condo Unit #101,4880 EL CAMINO REAL #14,NA,2019-05-22,2019-05-22,2020-06-25,4880 EL CAMINO #14,2019,2019,NA,NA,0,,0
230,BLD19-00537,MULTI FAMILY,CONDOMINIUM,FINALED,Condo Unit #102,4880 EL CAMINO REAL #105,NA,2019-05-22,2019-05-22,2020-06-25,4880 EL CAMINO #105,2019,2019,NA,NA,0,,0
231,BLD19-00538,MULTI FAMILY,CONDOMINIUM,FINALED,Condo Unit #103,4880 EL CAMINO REAL #12,NA,2019-05-22,2019-05-22,2020-06-25,4880 EL CAMINO #12,2019,2019,NA,NA,0,,0
232,BLD19-00539,MULTI FAMILY,CONDOMINIUM,FINALED,Condo Unit #104,4880 EL CAMINO REAL #11,NA,2019-05-22,2019-05-22,2020-06-25,4880 EL CAMINO #11,2019,2019,NA,NA,0,,0
233,BLD19-00652,MULTI FAMILY,CONDOMINIUM,FINALED,Condo Unit #201,4880 EL CAMINO REAL #24,NA,2019-06-13,2019-06-13,2020-06-25,4880 EL CAMINO #24,2019,2019,NA,NA,0,,0
234,BLD19-00653,MULTI FAMILY,CONDOMINIUM,FINALED,Condo Unit#202,4880 EL CAMINO REAL #25,NA,2019-06-13,2019-06-13,2020-06-25,4880 EL CAMINO #25,2019,2019,NA,NA,0,,0
235,BLD19-00654,MULTI FAMILY,CONDOMINIUM,FINALED,Condo Unit#203,4880 EL CAMINO REAL #22,NA,2019-06-13,2019-06-13,2020-06-25,4880 EL CAMINO #22,2019,2019,NA,NA,0,,0
236,BLD19-00655,MULTI FAMILY,CONDOMINIUM,FINALED,Condo Unit#204,4880 EL CAMINO REAL #23,NA,2019-06-13,2019-06-13,2020-06-25,4880 EL CAMINO #23,2019,2019,NA,NA,0,,0
237,BLD19-00656,MULTI FAMILY,CONDOMINIUM,FINALED,Condo Unit#205,4880 EL CAMINO REAL #21,NA,2019-06-13,2019-06-13,2020-06-25,4880 EL CAMINO #21,2019,2019,NA,NA,0,,0
238,BLD19-00723,MULTI FAMILY,CONDOMINIUM,FINALED,Condo Unit#301,4880 EL CAMINO REAL #34,NA,2019-06-26,2019-07-05,2020-06-25,4880 EL CAMINO #34,2019,2019,NA,NA,0,,0
239,BLD19-00823,MULTI FAMILY,CONDOMINIUM,FINALED,Condo Unit #302,4880 EL CAMINO REAL #33,NA,2019-07-15,2019-07-15,2020-06-25,4880 EL CAMINO #33,2019,2019,NA,NA,0,,0
240,BLD19-00824,MULTI FAMILY,CONDOMINIUM,FINALED,Condo Unit #303,4880 EL CAMINO REAL #32,NA,2019-07-15,2019-07-15,2020-06-25,4880 EL CAMINO #32,2019,2019,NA,NA,0,,0
241,BLD19-00825,MULTI FAMILY,CONDOMINIUM,FINALED,Condo Unit #304,4880 EL CAMINO REAL #31,NA,2019-07-15,2019-07-15,2020-06-25,4880 EL CAMINO #31,2019,2019,NA,NA,0,,0
242,BLD19-00826,MULTI FAMILY,CONDOMINIUM,FINALED,Condo Unit #401,4880 EL CAMINO REAL #44,NA,2019-07-15,2019-07-15,2020-06-25,4880 EL CAMINO #44,2019,2019,NA,NA,0,,0
243,BLD19-00827,MULTI FAMILY,CONDOMINIUM,FINALED,Condo Unit #402,4880 EL CAMINO REAL #43,NA,2019-07-15,2019-07-15,2020-06-25,4880 EL CAMINO #43,2019,2019,NA,NA,0,,0
244,BLD19-00834,MULTI FAMILY,CONDOMINIUM,FINALED,Condo Unit #403,4880 EL CAMINO REAL #42,NA,2019-07-16,2019-07-16,2020-06-25,4880 EL CAMINO #42,2019,2019,NA,NA,0,,0
245,BLD19-00835,MULTI FAMILY,CONDOMINIUM,FINALED,Condo Unit #404,4880 EL CAMINO REAL #41,NA,2019-07-16,2019-07-16,2020-06-25,4880 EL CAMINO #41,2019,2019,NA,NA,2,,2
246,BLD19-01450,MULTI FAMILY,CONDOMINIUM,SUBMITTED,New Multi-Family ,425 1ST ST,16741019,2019-10-21,NA,NA,425 FIRST,NA,2019,-122.1154079,37.3752705,20,,20
247,BLD19-01769,MIXED USE,,SUBMITTED,New Mixed Use Building,389 First Street,NA,2019-12-16,NA,NA,389 FIRST,NA,2019,-122.1157629,37.3756131,10,,10
248,BLD20-00925,MULTI FAMILY,CONDOMINIUM,SUBMITTED,4-Story Condominium Building,450 FIRST STREET,NA,2020-08-11,NA,NA,450 FIRST,NA,2020,-122.1153858,37.3745833,27,,27
249,BLD20-01020,MULTI FAMILY,CONDOMINIUM,SUBMITTED,52-Unit Condominium Development,4846 EL CAMINO REAL,17002027,2020-08-27,NA,NA,4846 EL CAMINO,NA,2020,-122.1094719,37.3988221,42,,42
